,original,processed
0,liber de terra sancta,liber de terra sancta
1,cum in veteribus hystoriis legamus sicut dicit beatus ieronimus quosdam lustrasse provincias maria transfretasse ut ea que ex libris noverant coram positi viderent ut plato menphiticos vates et egyptum apollonius qui persas intravit transivit caucasum albanos scithas massagethas indiam bragmanos quoque ut yartham videret et tandem egyptum intravit ut famosam mensam solis videret in sabulo quid mirum si christiani terram illam quam christi sonant ecclesie universe videre et visitare desiderant vanerabantur antiqui sancta sanctorum quia ibi erat archa testamenti et cherubin cum propiciatorio et manna et virga aaron que fronduerat que omnia erant umbra futuri nonne aput nos venerabilis est sepulchrum dulcis ihesu quod quociens quis ingreditur tociens involutum syndone mentis videt oculis salvatorem et paululum procedens videt lapidem revolutum angelum in eo sedentem et sudarium cum lintheaminibus mulieribus ostendentem,cum in ueteribus historiis legamus sicut dicit beatus ieronimus quosdam lustrasse prouintias maria transfretasse ut ea que ex libris nouerant coram positi uiderent ut plato menpiticos uates et egiptum apolonius qui persas intrauit transiuit caucasum albanos scitas massagetas indiam bragmanos quoque ut iartam uideret et tandem egiptum intrauit ut famosam mensam solis uideret in sabulo quid mirum si cristiani terram ilam quam cristi sonant ecclesie uniuerse uidere et uisitare desiderant uanerabantur antiqui sancta sanctorum quia ibi erat arca testamenti et cerubin cum propitiatorio et manna et uirga aaron que fronduerat que omnia erant umbra futuri nonne aput nos uenerabilis est sepulcrum dulcis iesu quod quociens quis ingreditur tociens inuolutum sindone mentis uidet oculis saluatorem et paululum procedens uidet lapidem reuolutum angelum in eo sedentem et sudarium cum linteaminibus mulieribus ostendentem
2,quis christianus hiis visis non festinet venire in bethleem contemplans puerum in presepio vagientem mariam in diversorio sub rupe concava que usque hodie cernitur parientem angelos presentibus pastoribus gloriam deo et pacem hominibus decantantes et quod amplius mirandum est quomodo tres illi magi maiestate preclari ante presepium proni ruant non habens tectum desuper nisi rupem dependentem,quis cristianus hiis uisis non festinet uenire in betleem contemplans puerum in presepio uagientem mariam in diuersorio sub rupe concaua que usque hodie cernitur parientem angelos presentibus pastoribus gloriam deo et pacem hominibus decantantes et quod amplius mirandum est quomodo tres ili magi maiestate preclari ante presepium proni ruant non habens tectum desuper nisi rupem dependentem
3,redeat post hec in ierusalem ut videat et audiat in templo ihesum predicantem in monte oliveti discipulos instruentem in monte syon cenantem discipulorum pedes lavantem corpus suum sanguinem tradentem in gethsemani orantem sudore sanguineo defluentem traditorem osculantem captum trahi illudi conspui iudicatum crucem baiulantem sub pondere crucis in porta civitatis ut hodie cernitur deficientem cyreneum symonem succendentem in calvaria pro nobis passionis mysteria celebrantem horum omnium locorum et singulorum adhuc ita plana et manifesta exstat memoria sicut illo die exstitit quando presencialiter erant facta certe in hac civitate tot sunt dominice passionis et sanctis loca insignia quod nullo modo sufficit dies ad singula utiliter perlustranda,redeat post hec in ierusalem ut uideat et audiat in templo iesum predicantem in monte oliueti discipulos instruentem in monte sion cenantem discipulorum pedes lauantem corpus suum sanguinem tradentem in getsemani orantem sudore sanguineo defluentem traditorem osculantem captum trahi iludi conspui iudicatum crucem baiulantem sub pondere crucis in porta ciuitatis ut hodie cernitur deficientem cireneum simonem succendentem in caluaria pro nobis passionis misteria celebrantem horum omnium locorum et singulorum adhuc ita plana et manifesta exstat memoria sicut ilo die exstitit quando presentialiter erant facta certe in hac ciuitate tot sunt dominice passionis et sanctis loca insignia quod nulo modo suficit dies ad singula utiliter perlustranda
4,sunt preterea quedam que in locis illis devocionem augent ampliorem quis enim enarrare sufficiat quot monachi quot moniales de georgia de armenia maiore et minore caldea syria media persya india ethyopia nubia nabenia maromea jacobite nestoriani greci syri et aliarum nacionum nunc turmatim centeni ducenteni plus et minus discurrentes per loca singula in spiritu vehementi osculantur terram venerantur loca in quibus dulcem ihesum sedisse stetisse vel fecisse quimpiam operis audierunt nunc tundunt pectus nunc fletus nunc gemitus nunc suspiria emittentes gestu corporis et devotionis quam foris ostendunt et absque dubio intus habent in lacrimas provocant plerumque eciam sarracenos,sunt preterea quedam que in locis ilis deuotionem augent ampliorem quis enim enarrare sufitiat quot monaci quot moniales de georgia de armenia maiore et minore caldea siria media persia india etiopia nubia nabenia maromea iacobite nestoriani greci siri et aliarum nationum nunc turmatim centeni ducenteni plus et minus discurrentes per loca singula in spiritu uehementi osculantur terram uenerantur loca in quibus dulcem iesum sedisse stetisse aut fecisse quimpiam operis audierunt nunc tundunt pectus nunc fletus nunc gemitus nunc suspiria emitentes gestu corporis et deuotionis quam foris ostendunt et absque dubio intus habent in lacrimas prouocant plerumque etiam sarracenos
5,eia domine deus video secundum veteres hystorias abraham terram domumque patris et cognationem dereliquentem ad terram hanc festinantem inter bethel et hay tabernaculum figentem in geraris bersabee et ebron commorantem video ezechielem deserentem flumina babylonis et ut veniat in ierusalem inter celum et terram capillo capitis portatum illuc transvolantem quid dicam de virgine gloriosa que postquam ad eam angelica facta est promissio licet sciret uterum suum tabernaculum dei factum non est contenta spaciosis et speciosis campestribus galilee sed statim cum festinatione montana iudee conscendit volens locis sanctuaribus propinquare quid de patriarcha lacob iosep et fratribus eius dicam qui quia vivi in terra ista esse non poterant elegerunt mortui sepeliri quid plura ingemiscere possumus nostri temporis populi christiani qui tot et tanta tantorum habentes exempla tardi sumus de manibus inimicorum eruere terram quam consecravit suo sanguine ihesus christus et quam cotidie resonat ecclesia universa quem enim hora diei vel noctis per totum anni circulum in qua non recolit cantando legendo psallendo predicando et meditando omnis devotus christianus que facta sunt vel scripta in hac terra et civitatibus et locis eius,eia domine deus uideo secundum ueteres historias abraham terram domumque patris et cognationem dereliquentem ad terram hanc festinantem inter betel et hai tabernaculum figentem in geraris bersabee et ebron comorantem uideo esecielem deserentem flumina babilonis et ut ueniat in ierusalem inter celum et terram capilo capitis portatum iluc transuolantem quid dicam de uirgine gloriosa que postquam ad eam angelica facta est promissio licet sciret uterum suum tabernaculum dei factum non est contenta spatiosis et spetiosis campestribus galilee sed statim cum festinatione montana iudee conscendit uolens locis sanctuaribus propinquare quid de patriarca lacob iosep et fratribus eius dicam qui quia uiui in terra ista esse non poterant elegerunt mortui sepeliri quid plura ingemiscere possumus nostri temporis populi cristiani qui tot et tanta tantorum habentes exempla tardi sumus de manibus inimicorum eruere terram quam consecrauit suo sanguine iesus cristus et quam cotidie resonat ecclesia uniuersa quem enim hora diei aut noctis per totum anni circulum in qua non recolit cantando legendo psalendo predicando et meditando omnis deuotus cristianus que facta sunt aut scripta in hac terra et ciuitatibus et locis eius
6,verum ego burchardus ordinis predicatorum videns quosdam affici desiderio ea saltem aliqualiter ymaginari que non possunt presentialiter intueri et cupiens eorum desiderio satisfacere quantum possum terram ipsam quam pedibus meis pluries pertransivi quantum potui consideravi et notavi diligenter et studiose descripsi hec lectorem scire volens quod nichil in hac descriptione posui nisi quod vel presencialiter in locis ipsis existens vidi vel stans in montibus aliquibus vel locis aliis oportunis ubi accessum habere non potui a surianis vel sarracenis aut aliis terre ipsius habitatoribus diligentissime quod querebam interrogans annotavi totam enim terram ipsam a dan usque bersabee a mari mortuo usque ad mare magnum qui sunt eius termini aut pedibus ut dictum est perambulavi vel oculis ubi accessum habere non potui diligenter consideravi,uerum ego burcardus ordinis predicatorum uidens quosdam afici desiderio ea saltem aliqualiter imaginari que non possunt presentialiter intueri et cupiens eorum desiderio satisfacere quantum possum terram ipsam quam pedibus meis pluries pertransiui quantum potui consideraui et notaui diligenter et studiose descripsi hec lectorem scire uolens quod nicil in hac descriptione posui nisi quod aut presentialiter in locis ipsis existens uidi aut stans in montibus aliquibus aut locis aliis oportunis ubi accessum habere non potui a surianis aut sarracenis aut aliis terre ipsius habitatoribus diligentissime quod querebam interrogans annotaui totam enim terram ipsam a dan usque bersabee a mari mortuo usque ad mare magnum qui sunt eius termini aut pedibus ut dictum est perambulaui aut oculis ubi accessum habere non potui diligenter consideraui
7,advertens autem quomodo possem hec utiliter describere ita ut possent a legentibus ymaginatione facili conprehendi cogitavi centrum aliquod in ea ponere et circa illud totam terram modo debito ordinare et ad hoc elegi civitatem acconensem tamquam plus aliis nominatam que tamen non est in medio sed in occidentali eius fine supra mare sita et ab ipsa protraxi quatuor lineas quatuor mundi partibus respondents et quamlibet quartam divisi in tria ut responderent duodecim divisiones iste ventis celi et in singulis divisionibus posui civitates et loca in scripturis magis nota ut singulorum locorum situs et dispositio posset de facili reperiri ad quam partem mundi esset collocata,aduertens autem quomodo possem hec utiliter describere ita ut possent a legentibus imaginatione facili conprehendi cogitaui centrum aliquod in ea ponere et circa ilud totam terram modo debito ordinare et ad hoc elegi ciuitatem acconensem tamquam plus aliis nominatam que tamen non est in medio sed in occidentali eius fine supra mare sita et ab ipsa protraxi quatuor lineas quatuor mundi partibus respondents et quamlibet quartam diuisi in tria ut responderent duodecim diuisiones iste uentis celi et in singulis diuisionibus posui ciuitates et loca in scripturis magis nota ut singulorum locorum situs et dispositio posset de facili reperiri ad quam partem mundi esset colocata
8,descripcio terre sancte sciendum autem est in principio quod terra ista quam sanctam dicimus que cecidit in sortem duodecim tribuum israel pro parte aliqua dicebatur regnum iudee que erat duarum tribuum scilicet iude et beniamin pro parte altera dicebatur regnum samarie civitatis scilicet que nunc sebaste dicitur et erat caput tribuum reliquarum que israel dicebantur utrumque tamen regnum istud cum tota terra phylistiim dicebatur palestina que erat pars syrie sicut saxonia vel francia partes sunt teutonie et lambardia et tuscia partes ytalie,descriptio terre sancte sciendum autem est in principio quod terra ista quam sanctam dicimus que cecidit in sortem duodecim tribuum isrel pro parte aliqua dicebatur regnum iudee que erat duarum tribuum scilicet iude et beniamin pro parte altera dicebatur regnum samarie ciuitatis scilicet que nunc sebaste dicitur et erat caput tribuum reliquarum que isrel dicebantur utrumque tamen regnum istud cum tota terra pilistiim dicebatur palestina que erat pars sirie sicut saxonia aut frantia partes sunt teutonie et lambardia et tustia partes italie
9,ad hoc autem plenius intelligendum nota quod plures sunt syrie diversis scilicet nominibus nuncupate tota enim terra que est a tygride fluvio usque ad egyptum generaliter syria nuncupatur pars tamen eius prima que est inter fluvios eufraten et tygrum et protenditur per longum ab aquilone in austrum hoc est a monte tauro usque ad mare rubrum appellatur mesopotamia syrie quasi media inter aquas et habet gentes multas ut partos medos quibus ab austro coniungitur caldea in qua est babilonia et illi ytidem ab austro adiacet arabia usque ad mare rubrum quod in locis illis sinus arabicus dicitur prima tamen pars totius huius mesopotamie que aquilonem respicit in qua est civitas edissa que antiquitus rages nunc rase dicitur specialiter mesopothamia syrie nuncupatur et hec est syria prima,ad hoc autem plenius inteligendum nota quod plures sunt sirie diuersis scilicet nominibus nuncupate tota enim terra que est a tigride fluuio usque ad egiptum generaliter siria nuncupatur pars tamen eius prima que est inter fluuios eufraten et tigrum et protenditur per longum ab aquilone in austrum hoc est a monte tauro usque ad mare rubrum appelatur mesopotamia sirie quasi media inter aquas et habet gentes multas ut partos medos quibus ab austro coniungitur caldea in qua est babilonia et ili itidem ab austro adiacet arabia usque ad mare rubrum quod in locis ilis sinus arabicus dicitur prima tamen pars tocius huius mesopotamie que aquilonem respicit in qua est ciuitas edissa que antiquitus rages nunc rase dicitur spetialiter mesopotamia sirie nuncupatur et hec est siria prima
