,importance,feature
0,0.0007302614531234915,_a
1,0.00036585752052271817,_a_
2,0.0,_a_a
3,0.0,_a_ad
4,0.0,_a_au
5,0.00010763877937880753,_a_b
6,0.0,_a_be
7,0.0,_a_c
8,2.0232162136152088e-05,_a_ca
9,0.0,_a_ce
10,0.0,_a_ci
11,0.0,_a_co
12,0.0,_a_cr
13,6.806920561602729e-05,_a_d
14,0.0,_a_da
15,0.0,_a_de
16,0.0,_a_di
17,0.0,_a_do
18,0.0,_a_e
19,0.0,_a_et
20,0.0,_a_eu
21,2.0772535917458794e-05,_a_f
22,0.0,_a_fa
23,0.0,_a_fe
24,0.0,_a_fi
25,0.0,_a_fl
26,0.0,_a_fr
27,0.0,_a_i
28,0.0,_a_ia
29,0.0,_a_ib
30,0.0,_a_io
31,4.950960863094841e-05,_a_is
32,0.00011177887412173837,_a_l
33,0.0,_a_la
34,0.0,_a_li
35,0.0,_a_lo
36,0.00016360502199160555,_a_m
37,0.0,_a_ma
38,0.0,_a_me
39,0.0,_a_mo
40,0.0,_a_mu
41,0.0,_a_n
42,0.0,_a_na
43,0.0,_a_ne
44,0.0,_a_no
45,0.0,_a_p
46,0.0,_a_pa
47,0.0,_a_pe
48,0.0,_a_po
49,0.0,_a_pr
50,0.0,_a_q
51,5.257274394554606e-05,_a_qu
52,0.0,_a_r
53,0.0,_a_ra
54,0.0,_a_re
55,0.0,_a_ro
56,0.0,_a_s
57,0.0,_a_sa
58,0.0,_a_se
59,0.0,_a_si
60,0.0,_a_so
61,0.0,_a_t
62,0.0,_a_ta
63,0.0,_a_te
64,0.0,_a_ti
65,0.0,_a_tu
66,0.0,_a_u
67,0.0,_a_ul
68,0.0,_a_un
69,0.0,_aa
70,0.0,_aar
71,0.0,_aaro
72,4.584595588647482e-05,_ab
73,0.00029877333683800964,_ab_
74,9.484366537010069e-05,_ab_a
75,0.0,_ab_c
76,0.0,_ab_d
77,4.044585957483412e-05,_ab_e
78,0.0,_ab_h
79,0.0,_ab_i
80,0.0,_ab_l
81,0.0,_ab_m
82,0.00015880943579342944,_ab_o
83,0.0,_ab_p
84,0.0,_ab_q
85,0.0,_ab_s
86,0.0,_ab_t
87,0.0,_ab_u
88,0.0,_aba
89,0.0,_abar
90,0.0,_abb
91,0.0,_abba
92,0.0,_abd
93,0.0,_abde
94,0.0,_abdi
95,0.0,_abe
96,0.0,_abel
97,0.0,_abh
98,0.0,_abho
99,1.9947624074202764e-05,_abi
100,0.0,_abic
101,0.0,_abie
102,0.0,_abig
103,0.0,_abii
104,0.0,_abl
105,0.0,_abla
106,0.0,_abo
107,0.0,_abob
108,0.0,_abr
109,0.0,_abra
110,4.288462984046444e-05,_abs
111,0.0,_absa
112,0.0,_absc
113,0.0,_absi
114,0.0,_abso
115,0.0,_absq
116,0.0,_abst
117,0.0,_absu
118,0.00026906098816486287,_ac
119,0.0,_ac_
120,0.0,_ac_c
121,0.0,_ac_m
122,0.0,_ac_s
123,0.0,_ac_t
124,0.0,_aca
125,0.0,_acab
126,0.0,_acar
127,0.000564201727023464,_acc
128,0.0,_acca
129,0.0,_accc
130,0.0,_acce
131,0.0,_acci
132,0.00032920631747862354,_acco
133,0.0,_ace
134,0.0,_acel
135,0.0,_aci
136,0.0,_acil
137,0.0,_acin
138,0.0,_acis
