,importance,feature
0,0.001,_a
1,0.0,_a_
2,0.0,_a_a
3,0.0,_a_ac
4,0.0,_a_ad
5,0.0,_a_al
6,0.0,_a_ap
7,0.0,_a_au
8,0.0,_a_b
9,0.0,_a_be
10,0.0,_a_c
11,0.0,_a_ca
12,0.0,_a_ce
13,0.0,_a_ci
14,0.0,_a_co
15,0.0,_a_cr
16,0.0,_a_d
17,0.0,_a_da
18,0.0,_a_de
19,0.0,_a_di
20,0.0,_a_e
21,0.0,_a_et
22,0.0,_a_eu
23,0.0,_a_f
24,0.0,_a_fa
25,0.0,_a_fe
26,0.0,_a_fi
27,0.0,_a_fl
28,0.0,_a_fr
29,0.0,_a_g
30,0.0,_a_go
31,0.0,_a_i
32,0.0,_a_ia
33,0.0,_a_ib
34,0.0,_a_io
35,0.0,_a_l
36,0.0,_a_la
37,0.0,_a_li
38,0.0,_a_lo
39,0.0,_a_m
40,0.0,_a_ma
41,0.0,_a_me
42,0.0,_a_mo
43,0.0,_a_mu
44,0.0,_a_n
45,0.0,_a_na
46,0.0,_a_no
47,0.0,_a_o
48,0.0,_a_oc
49,0.0,_a_p
50,0.0,_a_pa
51,0.0,_a_pe
52,0.0,_a_pi
53,0.0,_a_po
54,0.0,_a_pr
55,0.0,_a_q
56,0.0,_a_qu
57,0.0,_a_r
58,0.0,_a_re
59,0.0,_a_s
60,0.0,_a_sa
61,0.0,_a_se
62,0.0,_a_si
63,0.0,_a_so
64,0.0,_a_su
65,0.0,_a_t
66,0.0,_a_te
67,0.0,_a_ti
68,0.0,_a_tu
69,0.0,_a_u
70,0.0,_a_ub
71,0.0,_a_ul
72,0.0,_a_un
73,0.0,_aa
74,0.0,_aar
75,0.0,_aaro
76,0.0,_ab
77,0.0,_ab_
78,0.0,_ab_a
79,0.0,_ab_c
80,0.0,_ab_d
81,0.0005,_ab_e
82,0.0,_ab_h
83,0.0,_ab_i
84,0.0,_ab_l
85,0.0,_ab_m
86,0.0,_ab_o
87,0.0,_ab_p
88,0.0,_ab_q
89,0.0,_ab_s
90,0.0,_ab_t
91,0.0,_ab_u
92,0.0,_aba
93,0.0,_abar
94,0.0,_abb
95,0.0,_abba
96,0.0,_abd
97,0.0,_abde
98,0.0,_abdi
99,0.0,_abe
100,0.0,_abel
101,0.0,_abh
102,0.0,_abho
103,0.0,_abi
104,0.0,_abic
105,0.0,_abig
106,0.0,_abii
107,0.0,_abil
108,0.0,_abim
109,0.0,_abir
110,0.0,_abis
111,0.0,_abo
112,0.0,_abol
113,0.0,_abr
114,0.0,_abra
115,0.0,_abs
116,0.0,_absc
117,0.0,_absi
118,0.0,_abso
119,0.0,_absq
120,0.0,_abst
121,0.0,_absu
122,0.0,_ac
123,0.0,_ac_
124,0.0,_ac_m
125,0.0,_ac_s
126,0.0,_aca
127,0.0,_acab
128,0.0,_acar
129,0.0,_acas
130,0.0,_acc
131,0.0,_acce
132,0.0,_acci
133,0.0,_acco
134,0.0,_ace
135,0.0,_acel
136,0.0,_aci
137,0.0,_acil
138,0.0,_acin
139,0.0,_acis
140,0.0,_ack
141,0.0,_acko
142,0.0,_aco
143,0.0,_acon
144,0.0,_acor
145,0.0,_act
146,0.0,_acti
147,0.0,_acu
148,0.0,_acum
149,0.0,_acus
150,0.0,_acut
151,0.0,_ad
152,0.0,_ad_
153,0.0,_ad_a
154,0.0,_ad_b
155,0.0,_ad_c
156,0.0,_ad_d
157,0.0,_ad_e
158,0.0,_ad_f
159,0.0,_ad_g
160,0.0,_ad_h
161,0.0,_ad_i
162,0.0,_ad_k
163,0.0,_ad_l
164,0.0005,_ad_m
165,0.0,_ad_n
166,0.0,_ad_o
167,0.0,_ad_p
168,0.0,_ad_q
169,0.0,_ad_r
170,0.0,_ad_s
171,0.0,_ad_t
172,0.0,_ad_u
173,0.0,_ada
174,0.0,_adam
175,0.0,_add
176,0.0,_addu
177,0.0,_ade
178,0.0,_ade_
179,0.0,_aden
180,0.0,_adeu
181,0.0,_adh
182,0.0,_adhe
183,0.0,_adho
184,0.0,_adhu
185,0.0,_adi
186,0.0,_adia
187,0.0,_adii
188,0.0,_adiu
189,0.0,_adm
190,0.0,_admi
191,0.0,_ado
192,0.0,_adon
193,0.0,_ador
194,0.0,_adr
195,0.0,_adri
196,0.0,_adu
197,0.0,_adue
198,0.0,_adul
199,0.0,_aduo
200,0.0,_af
201,0.0,_afe
202,0.0,_afec
203,0.0,_afel
204,0.0,_afi
205,0.0,_afic
206,0.0,_afr
207,0.0,_afri
208,0.0,_ag
209,0.0,_aga
210,0.0,_agat
211,0.0,_age
212,0.0,_agen
213,0.0,_ager
214,0.0,_agg
215,0.0,_agge
216,0.0,_agi
217,0.0,_agit
218,0.0,_agn
219,0.0,_agne
220,0.0,_agr
221,0.0,_agri
222,0.0,_agro
223,0.0,_agru
224,0.0,_ai
225,0.0,_ail
226,0.0,_ailo
227,0.0,_al
228,0.0,_ala
229,0.0,_alan
230,0.0,_alb
231,0.0,_alba
232,0.0,_albi
233,0.0,_albo
234,0.0,_albu
235,0.0,_alc
236,0.0,_alci
237,0.0,_ale
238,0.0,_alen
239,0.0,_alex
240,0.0,_ali
241,0.0,_alia
242,0.0,_alib
243,0.0,_alic
244,0.0,_alie
245,0.0,_alii
246,0.0,_alio
247,0.0,_aliq
248,0.0,_alit
249,0.0,_aliu
250,0.0,_alm
251,0.0,_almu
252,0.0,_alp
253,0.0,_alpi
254,0.0,_alt
255,0.0,_alta
256,0.0,_alte
257,0.0,_alti
258,0.0,_alto
259,0.0,_altr
260,0.0,_altu
261,0.0,_alu
262,0.0,_alue
263,0.002,_am
264,0.0,_am_
265,0.0,_am_e
266,0.0,_ama
267,0.0,_amac
268,0.0,_amal
269,0.0,_amas
270,0.0,_amb
271,0.0,_ambe
272,0.0,_ambi
273,0.0,_ambo
274,0.0,_ambu
275,0.0,_ame
276,0.0,_amen
277,0.0,_ami
278,0.0,_amic
279,0.0,_amo
280,0.0,_amon
281,0.0,_amor
282,0.0,_amos
283,0.0,_amp
284,0.0,_ampl
285,0.0,_an
286,0.0,_an_
287,0.0,_an_s
288,0.0,_ana
289,0.0,_anac
290,0.0,_anag
291,0.0,_anan
292,0.0,_anas
293,0.0,_anat
294,0.0,_anc
295,0.0,_anco
296,0.0,_and
297,0.0,_andr
298,0.0,_ang
299,0.0,_ange
300,0.0,_angl
301,0.0,_angu
302,0.0,_ani
303,0.0,_anim
304,0.0,_ann
305,0.0,_anne
306,0.0,_anni
307,0.0,_anno
308,0.0,_annu
309,0.0,_ant
310,0.0,_anta
311,0.0,_ante
312,0.0,_anti
313,0.0,_anto
314,0.0,_ap
315,0.0,_apa
316,0.0,_apar
317,0.0,_ape
318,0.0,_aper
319,0.0,_apet
320,0.0,_apo
321,0.0,_apos
322,0.0,_app
323,0.0,_appa
324,0.0,_appe
325,0.0,_appl
326,0.0,_appn
327,0.0,_appo
328,0.0,_appr
329,0.0,_apt
330,0.0,_apta
331,0.0,_apti
332,0.0,_aptu
333,0.0,_apu
334,0.0,_apud
335,0.0,_aq
336,0.0,_aqu
337,0.0,_aqua
338,0.0,_aque
339,0.0,_aqui
340,0.0,_aquo
341,0.0,_ar
342,0.0,_ara
343,0.0,_arab
344,0.0,_arac
345,0.0,_arad
346,0.0,_aram
347,0.0,_aran
348,0.0,_arar
349,0.0,_arat
350,0.0,_arb
351,0.0,_arbo
352,0.0,_arbu
353,0.0,_arc
354,0.0,_arca
355,0.0,_arci
356,0.0,_arcu
357,0.0,_are
358,0.0,_area
359,0.0,_arec
360,0.0,_aren
361,0.0,_ares
362,0.0,_arg
363,0.0,_arge
364,0.0,_argu
365,0.0,_ari
366,0.0,_arid
367,0.0,_arie
368,0.0,_arim
369,0.0,_arm
370,0.0,_arma
371,0.0,_arme
372,0.0,_armi
373,0.0,_armo
374,0.0,_arn
