,feature_name,p_#,cross/inner,mean,std,min,25%,50%,75%,max,# of 0 similarities,p_length,most_similar_p_#,most_similar_score,most_similar_p_length,most_similar_dropped,most_similar_dropped_p_#,most_similar_dropperd_score,most_similar_dropped_p_length,version,inner_mean_is_low,cross_inner_mean_diff
966,5_gram,0,inner,0.008343419828204796,0.015417068009429748,0.0,0.0,0.0023617347483585694,0.01030181428595332,0.14871609129644245,138,31,321,0.14871609129644245,53,,,,,zwickau,True,0.0012151431815241812
2898,count_vectorizer_5_gram,0,cross,0.0166309409580156,0.0265996182763511,0.0,0.0,0.007410410494517374,0.02312674749927585,0.2202192460215467,131,31,19,0.2202192460215467,360,False,,,,zwickau,,
2576,5_gram,0,cross,0.009558563009728977,0.017142230308830234,0.0,0.0,0.0032469729841300967,0.011942866541332456,0.16006926335170077,131,31,8,0.16006926335170077,550,False,,,,zwickau,,
2862,count_vectorizer_5_gram,0,cross,0.020757017606263164,0.032963728545110364,0.0,0.0,0.0,0.03069151952537489,0.15894111747616882,177,21,274,0.15894111747616882,853,False,,,,london,,
1272,count_vectorizer_5_gram,0,inner,0.019303052042305868,0.03150014936671109,0.0,0.0,0.0,0.027471536872569736,0.20513217183267982,163,21,19,0.20513217183267982,360,,,,,london,True,0.0014539655639572956
1288,count_vectorizer_5_gram,0,inner,0.015391187485347138,0.02569440351998446,0.0,0.0,0.007212372040131925,0.019728744960821123,0.24743582965269678,138,31,321,0.24743582965269678,53,,,,,zwickau,True,0.001239753472668463
2544,5_gram,0,cross,0.010074703276515449,0.01680699506412294,0.0,0.0,0.0,0.014199377927153594,0.09413564509476889,177,21,218,0.09413564509476889,219,False,,,,london,,
954,5_gram,0,inner,0.009648325230260034,0.016919059244436135,0.0,0.0,0.0,0.013535388618101236,0.1020277173458708,163,21,19,0.1020277173458708,360,,,,,london,True,0.00042637804625541426
2863,count_vectorizer_5_gram,1,cross,0.06605849415900328,0.03178945071833263,0.0,0.04179451391682142,0.06514147604672486,0.08458429641522354,0.18158154167915874,3,929,5,0.18158154167915874,1248,True,1.0,0.8408213630139318,878.0,london,,
2899,count_vectorizer_5_gram,1,cross,0.0714391726508988,0.031680965757114564,0.007976297754499331,0.04785950493326892,0.06729548016362515,0.09099265652774974,0.1753939625545286,0,878,5,0.1753939625545286,1230,True,1.0,0.8408213630139321,929.0,zwickau,,
1289,count_vectorizer_5_gram,1,inner,0.06650625336680477,0.03226695035198787,0.0,0.042156156338482395,0.06563952004061782,0.08471419819643491,0.18399246278156592,3,878,5,0.18399246278156592,1248,,,,,zwickau,True,0.004932919284094034
2545,5_gram,1,cross,0.030185575756868102,0.01711267617893644,0.0,0.01719985979347655,0.028906541294054795,0.03987013309656489,0.09492086537788082,3,929,6,0.09492086537788082,1587,True,1.0,0.7829597577102049,878.0,london,,
955,5_gram,1,inner,0.032858122314205804,0.017134954593288437,0.00289375557855556,0.01951502814549843,0.030303080102707814,0.04204930488220298,0.0846239849921085,0,929,275,0.0846239849921085,1587,,,,,london,False,-0.0026725465573377016
2577,5_gram,1,cross,0.03309652138468078,0.01727870828203418,0.0030071935173783147,0.02075790213245667,0.03042221905966356,0.04211390240670029,0.09286091686462629,0,878,275,0.09286091686462629,1587,True,1.0,0.783605972171981,929.0,zwickau,,
967,5_gram,1,inner,0.031249033194720277,0.018081500046488872,0.0,0.017712770114105218,0.028673723614872526,0.040267558107389204,0.10334748508733432,3,878,6,0.10334748508733432,1587,,,,,zwickau,True,0.0018474881899605
1273,count_vectorizer_5_gram,1,inner,0.07253757913692926,0.031944998998329,0.014111631024534794,0.04772830106034015,0.06767188282040267,0.09263620991351168,0.1746461749163618,0,929,5,0.1746461749163618,1230,,,,,london,False,-0.006479084977925986
1274,count_vectorizer_5_gram,2,inner,0.06463847098625611,0.027668908087096707,0.0,0.043189310399626785,0.06487321146923228,0.08361336753944225,0.14891578119315008,2,394,5,0.14891578119315008,1230,,,,,london,False,-0.0036063854634003564
2864,count_vectorizer_5_gram,2,cross,0.06103208552285575,0.028486208709026954,0.0,0.0404394574584962,0.06016304445907179,0.07920405253602385,0.15019182217151147,4,394,211,0.15019182217151147,586,True,2.0,0.926251509677495,377.0,london,,
1290,count_vectorizer_5_gram,2,inner,0.05835419217776683,0.026671283924917782,0.0,0.038331342284764154,0.05790112777115221,0.0761501919334966,0.14508560157843162,4,377,5,0.14508560157843162,1248,,,,,zwickau,True,0.0034877160182588615
956,5_gram,2,inner,0.02600178313654169,0.014514221502496353,0.0,0.01565106088142834,0.023848669289560868,0.03419273453116741,0.07905947849225335,2,394,220,0.07905947849225335,830,,,,,london,False,-0.0006342552404058066
2546,5_gram,2,cross,0.025367527896135885,0.015635350748370982,0.0,0.014475251988487144,0.022486472270854315,0.03390354825922351,0.09892959923219685,4,394,212,0.09892959923219685,422,True,2.0,0.8975286768073327,377.0,london,,
968,5_gram,2,inner,0.023847936831647678,0.014910547634458968,0.0,0.013356603883285747,0.02093372841288042,0.03190705647158054,0.0977348523738441,4,377,212,0.0977348523738441,422,,,,,zwickau,True,0.001137253313271032
2900,count_vectorizer_5_gram,2,cross,0.06184190819602569,0.02596290669933935,0.0,0.04162724738970382,0.06235083704197063,0.07900447402374632,0.1441571994470439,2,377,5,0.1441571994470439,1230,True,2.0,0.9262515096774957,394.0,zwickau,,
2578,5_gram,2,cross,0.02498519014491871,0.013981204008224429,0.0,0.014835745885762851,0.022381722262196986,0.03277180876020543,0.07818477973338918,2,377,220,0.07818477973338918,830,True,2.0,0.8969272593860224,394.0,zwickau,,
2901,count_vectorizer_5_gram,3,cross,0.0712372582853155,0.033194163686079046,0.0,0.04873947946270538,0.067389951551941,0.09275991315081675,0.19361842631413057,1,725,5,0.19361842631413057,1230,True,3.0,0.8994940483773678,754.0,zwickau,,
