,zwickau_s_#,similarity_score,london,zwickau
0,422,0.15276669383791977,liber de terra sancta,tales autem ruinas non uidi in terra sancta quales in samaria cum tamen multas et magnas uiderim
1,1,0.6346168183967363,cum in ueteribus hystoriis legamus sicut dicit beatus ieronimus quosdam lustrasse prouincias maria transfretasse ut ea que ex libris nouerant coram positi uiderent ut plato menphiticos uates et egyptum apollonius qui persas intrauit transiuit caucasum albanos scithas massagethas indiam bragmanos quoque ut yartham uideret et tandem egyptum intrauit ut famosam mensam solis uideret in sabulo,cum sicut dicit ieronimus quosdam inueniamus lustrasse prouincias maria transfretasse ut ea que ex scripturis nouerant coram uiderent ut plato memphiticos uates et egiptum appollonius qui persas intrauit transiuit cancasum albanos stichas massagetas quoque ut yarcham uideret et tandem egiptum intrauit ut famosam mensam solis uideret in sabulo quid mirum si christiani terram illam quam christi sonant ecclesie uniuerse uidere et uisitare desiderant
2,1,0.4541025728867914,quid mirum si christiani terram illam quam christi sonant ecclesie uniuerse uidere et uisitare desiderant,cum sicut dicit ieronimus quosdam inueniamus lustrasse prouincias maria transfretasse ut ea que ex scripturis nouerant coram uiderent ut plato memphiticos uates et egiptum appollonius qui persas intrauit transiuit cancasum albanos stichas massagetas quoque ut yarcham uideret et tandem egiptum intrauit ut famosam mensam solis uideret in sabulo quid mirum si christiani terram illam quam christi sonant ecclesie uniuerse uidere et uisitare desiderant
3,2,0.8704580047683911,uanerabantur antiqui sancta sanctorum quia ibi erat archa testamenti et cherubin cum propiciatorio et manna et uirga aaron que fronduerat que omnia erant umbra futuri,uenerabantur antiqui sancta sanctorum quia ibi erat archa testamenti et chernibulum cum propiciatorio et manna et uirga aaron que fronduerat que omnia erant umbra
4,3,0.7900359135975763,nonne aput nos uenerabilis est sepulchrum dulcis ihesu quod quociens quis ingreditur tociens inuolutum syndone mentis uidet oculis saluatorem et paululum procedens uidet lapidem reuolutum angelum in eo sedentem et sudarium cum lintheaminibus mulieribus ostendentem,nonne uenerabilius est apud nos sepulcrum dulcis ihesu quod quotiens quis ingreditur totiens inuolutum syndone mentis oculis uidet saluatorem et paululum procedens uidet lapidem reuolutum angelum in eo sedentem et sudarium cum linthiaminibus mulieribus ostendentem
5,4,0.9023667041860755,quis christianus hiis uisis non festinet uenire in bethleem contemplans puerum in presepio uagientem mariam in diuersorio sub rupe concaua que usque hodie cernitur parientem angelos presentibus pastoribus gloriam deo et pacem hominibus decantantes et quod amplius mirandum est quomodo tres illi magi maiestate preclari ante presepium proni ruant non habens tectum desuper nisi rupem dependentem,quis christianus hiis uisis non festinabit uenire in bethleem contemplans puerum in presepio uagientem mariam in diuersorio sub rupe concaua que usque hodie cernitur parientem angelos presentibus pastoribus gloriam deo decantantes et quod amplius mirandum est quomodo illi tres magi magestate preclari ante presepium proni ruant non habens tectum desuper nisi rupem dependentem
6,5,0.9002204681381548,redeat post hec in ierusalem ut uideat et audiat in templo ihesum predicantem in monte oliueti discipulos instruentem in monte syon cenantem discipulorum pedes lauantem corpus suum sanguinem tradentem in gethsemani orantem sudore sanguineo defluentem traditorem osculantem captum trahi illudi conspui iudicatum crucem baiulantem sub pondere crucis in porta ciuitatis ut hodie cernitur deficientem cyreneum symonem succendentem in caluaria pro nobis passionis mysteria celebrantem,redeat post in iherusalem uideat et audiat in templo ihesum predicantem in monte oliueti discipulos instruentem in monte syon cenantem discipulorum pedes lauantem corpus suum et sanguinem tradentem in getsemani orantem sudore sanguineo fluentem traditorem osculantem captum trahi illudi conspui iudicari crucem baiulantem sub pondere crucis deficientem ut hodie cernitur cyreneum symonem succedentem in caluaria pro nobis passionis misteria celebrantem
7,6,0.7172610043308327,horum omnium locorum et singulorum adhuc ita plana et manifesta exstat memoria sicut illo die exstitit quando presencialiter erant facta,horum omnium locorum et singulorum adhuc ita plena et manifesta extat memoria sicut illo die extitit cum hec presentialiter erant facta
8,7,0.8000420021520064,certe in hac ciuitate tot sunt dominice passionis et sanctis loca insignia quod nullo modo sufficit dies ad singula utiliter perlustranda,certe in hac ciuitate tot sunt loca dominice passionis et factis insignita quod nullomodo sufficit dies ad singula utiliter perlustranda
9,8,0.7810915558629699,sunt preterea quedam que in locis illis deuocionem augent ampliorem,sunt preterea quedam que in locis illis deuotionem augeant ampliorem
