,feature_name,p_#,cross/inner,mean,std,min,25%,50%,75%,max,# of 0 similarities,p_length,most_similar_p_#,most_similar_score,most_similar_p_length,most_similar_dropped,version
0,5_gram,0,inner,0.008343419828204796,0.015417068009429748,0.0,0.0,0.0023617347483585694,0.01030181428595332,0.14871609129644245,138,31,321,0.14871609129644245,53,,zwickau
322,5_gram,0,cross,0.009558563009728977,0.017142230308830234,0.0,0.0,0.0032469729841300967,0.011942866541332456,0.16006926335170077,131,31,8,0.16006926335170077,550,False,zwickau
323,5_gram,1,cross,0.03309652138468078,0.01727870828203418,0.0030071935173783147,0.02075790213245667,0.03042221905966356,0.04211390240670029,0.09286091686462629,0,878,275,0.09286091686462629,1587,True,zwickau
1,5_gram,1,inner,0.031249033194720277,0.018081500046488872,0.0,0.017712770114105218,0.028673723614872526,0.040267558107389204,0.10334748508733432,3,878,6,0.10334748508733432,1587,,zwickau
2,5_gram,2,inner,0.023847936831647678,0.014910547634458968,0.0,0.013356603883285747,0.02093372841288042,0.03190705647158054,0.0977348523738441,4,377,212,0.0977348523738441,422,,zwickau
324,5_gram,2,cross,0.02498519014491871,0.013981204008224429,0.0,0.014835745885762851,0.022381722262196986,0.03277180876020543,0.07818477973338918,2,377,220,0.07818477973338918,830,True,zwickau
3,5_gram,3,inner,0.02913637493572169,0.016466508781114372,0.0,0.01709428902503887,0.0274783731981848,0.03908894252283482,0.1039746678386429,2,725,5,0.1039746678386429,1248,,zwickau
325,5_gram,3,cross,0.031217270313161585,0.01668134200022657,0.0,0.0196304895104099,0.02979687133639457,0.0396374295726281,0.10290685317929431,1,725,5,0.10290685317929431,1230,True,zwickau
4,5_gram,4,inner,0.026171717076061914,0.01665771719882181,0.0,0.01430291542131293,0.022740598597027963,0.03462134128903053,0.1073317553751845,2,707,283,0.1073317553751845,1603,,zwickau
326,5_gram,4,cross,0.027520027124232082,0.016363668704203888,0.0005733217528046795,0.016476502935166146,0.025867564125019202,0.03490095423851611,0.10726987411281681,0,707,275,0.10726987411281681,1587,True,zwickau
327,5_gram,5,cross,0.047441867552088304,0.02046771456258817,0.0031635187432010508,0.03183780115130807,0.04576690667634644,0.05977641590709444,0.11578757165375622,0,1248,272,0.11578757165375622,1979,True,zwickau
5,5_gram,5,inner,0.04481927594409921,0.021741448237878064,0.002713711930482567,0.028131398847079596,0.0429654799026196,0.057351262232134936,0.12080867494813496,0,1248,6,0.12080867494813496,1587,,zwickau
328,5_gram,6,cross,0.046413562978035415,0.024752627741218083,0.006702427105907217,0.027250115802450858,0.04182238992653283,0.0605817391189334,0.14803046684942653,0,1587,275,0.14803046684942653,1587,True,zwickau
6,5_gram,6,inner,0.043506194200064324,0.025552784023801695,0.0032011792446448315,0.02491332892153265,0.039244681901169046,0.05823213744887169,0.15304382841792818,0,1587,283,0.15304382841792818,1603,,zwickau
329,5_gram,7,cross,0.037285202723777576,0.019351740402421703,0.004054902428684208,0.023357938396417727,0.033593754266001676,0.04919832899312874,0.13005699617505026,0,677,20,0.13005699617505026,511,True,zwickau
7,5_gram,7,inner,0.035136458624635096,0.019636767093913716,0.001657624317575742,0.020586841936592676,0.0326540911153235,0.045606552582678164,0.1420861769804374,0,677,6,0.1420861769804374,1587,,zwickau
330,5_gram,8,cross,0.03535171144929743,0.024255541656397504,0.002326152109167235,0.01883181968300731,0.030349840701304955,0.0444778112872715,0.1809497082751112,0,555,79,0.1809497082751112,672,True,zwickau
8,5_gram,8,inner,0.033096495483467686,0.02469563095635141,0.0,0.014943255200546103,0.02852496986499206,0.04355272375692569,0.16152693809862498,2,555,15,0.16152693809862498,711,,zwickau
331,5_gram,9,cross,0.048568916658595,0.025993154164615645,0.0012666259062799018,0.030366137777097495,0.043429128632764664,0.0613104223716,0.14218196967651492,0,1030,317,0.14218196967651492,586,True,zwickau
9,5_gram,9,inner,0.04638207308395963,0.026148508467043533,0.0,0.027613960286700358,0.04054577697213769,0.059108587500029786,0.147081049022085,1,1030,18,0.147081049022085,573,,zwickau
332,5_gram,10,cross,0.03644922457900321,0.03300196848725675,0.004857417515318055,0.02174101580091159,0.03137442792267379,0.04425283324686777,0.47569529444602565,0,632,10,0.47569529444602565,333,False,zwickau
