,london_p_#,similarity_score,zwickau,london
0,8,1.0,incipit descripcio terre sancte,descripcio terre sancte sciendum autem est in principio quod terra ista quam sanctam dicimus que cecidit in sortem duodecim tribuum israel pro parte aliqua dicebatur regnum iudee que erat duarum tribuum scilicet iude et beniamin pro parte altera dicebatur regnum samarie ciuitatis scilicet que nunc sebaste dicitur et erat caput 10 tribuum reliquarum que israel dicebantur utrumque tamen regnum istud cum tota terra phylistiim dicebatur palestina que erat pars syrie sicut saxonia uel francia partes sunt teutonie et lambardia et tuscia partes ytalie
1,1,0.9999999999999999,cum sicut dicit ieronimus quosdam inueniamus lustrasse prouincias maria transfretasse ut ea que ex scripturis nouerant coram uiderent ut plato memphiticos uates et egiptum appollonius qui persas intrauit transiuit cancasum albanos stichas massagetas quoque ut yarcham uideret et tandem egiptum intrauit ut famosam mensam solis uideret in sabulo quid mirum si christiani terram illam quam christi sonant ecclesie uniuerse uidere et uisitare desiderant uenerabantur antiqui sancta sanctorum quia ibi erat archa testamenti et chernibulum cum propiciatorio et manna et uirga aaron que fronduerat que omnia erant umbra nonne uenerabilius est apud nos sepulcrum dulcis ihesu quod quotiens quis ingreditur totiens inuolutum syndone mentis oculis uidet saluatorem et paululum procedens uidet lapidem reuolutum angelum in eo sedentem et sudarium cum linthiaminibus mulieribus ostendentem,cum in ueteribus hystoriis legamus sicut dicit beatus ieronimus quosdam lustrasse prouincias maria transfretasse ut ea que ex libris nouerant coram positi uiderent ut plato menphiticos uates et egyptum apollonius qui persas intrauit transiuit caucasum albanos scithas massagethas indiam bragmanos quoque ut yartham uideret et tandem egyptum intrauit ut famosam mensam solis uideret in sabulo quid mirum si christiani terram illam quam christi sonant ecclesie uniuerse uidere et uisitare desiderant uanerabantur antiqui sancta sanctorum quia ibi erat archa testamenti et cherubin cum propiciatorio et manna et uirga aaron que fronduerat que omnia erant umbra futuri nonne aput nos uenerabilis est sepulchrum dulcis ihesu quod quociens quis ingreditur tociens inuolutum syndone mentis uidet oculis saluatorem et paululum procedens uidet lapidem reuolutum angelum in eo sedentem et sudarium cum lintheaminibus mulieribus ostendentem
2,2,1.0,quis christianus hiis uisis non festinabit uenire in bethleem contemplans puerum in presepio uagientem mariam in diuersorio sub rupe concaua que usque hodie cernitur parientem angelos presentibus pastoribus gloriam deo decantantes et quod amplius mirandum est quomodo illi tres magi magestate preclari ante presepium proni ruant non habens tectum desuper nisi rupem dependentem,quis christianus hiis uisis non festinet uenire in bethleem contemplans puerum in presepio uagientem mariam in diuersorio sub rupe concaua que usque hodie cernitur parientem angelos presentibus pastoribus gloriam deo et pacem hominibus decantantes et quod amplius mirandum est quomodo tres illi magi maiestate preclari ante presepium proni ruant non habens tectum desuper nisi rupem dependentem
3,3,1.0,redeat post in iherusalem uideat et audiat in templo ihesum predicantem in monte oliueti discipulos instruentem in monte syon cenantem discipulorum pedes lauantem corpus suum et sanguinem tradentem in getsemani orantem sudore sanguineo fluentem traditorem osculantem captum trahi illudi conspui iudicari crucem baiulantem sub pondere crucis deficientem ut hodie cernitur cyreneum symonem succedentem in caluaria pro nobis passionis misteria celebrantem horum omnium locorum et singulorum adhuc ita plena et manifesta extat memoria sicut illo die extitit cum hec presentialiter erant facta certe in hac ciuitate tot sunt loca dominice passionis et factis insignita quod nullomodo sufficit dies ad singula utiliter perlustranda,redeat post hec in ierusalem ut uideat et audiat in templo ihesum predicantem in monte oliueti discipulos instruentem in monte syon cenantem discipulorum pedes lauantem corpus suum sanguinem tradentem in gethsemani orantem sudore sanguineo defluentem traditorem osculantem captum trahi illudi conspui iudicatum crucem baiulantem sub pondere crucis in porta ciuitatis ut hodie cernitur deficientem cyreneum symonem succendentem in caluaria pro nobis passionis mysteria celebrantem horum omnium locorum et singulorum adhuc ita plana et manifesta exstat memoria sicut illo die exstitit quando presencialiter erant facta certe in hac ciuitate tot sunt dominice passionis et sanctis loca insignia quod nullo modo sufficit dies ad singula utiliter perlustranda
4,4,1.0,sunt preterea quedam que in locis illis deuotionem augeant ampliorem quis enim enarrare sufficiat quod monachi moniales de georgia armenia minore et maiore caldea syria medea persya nubia iabenia ethiopia india maronite iacobite nestoriarii greci syri egipcii et aliarum nationum uiri et mulieres nunc turmatim nunc centeni nunc ducentem plus et et minus discurrentes per singula loca in spiritu uehementi osculantur terram uenerantur loca ubi dulcem ihesum sedisse stetisse uel fecisse quippiam operis audierunt nunc tundunt pectus nunc fletus nunc gemitus nunc suspiria emictentes gestu corporis et deuocionis quam foris ostendunt absque dubio intus habent in lacrimas prouocant plerumque etiam sarracenos,sunt preterea quedam que in locis illis deuocionem augent ampliorem quis enim enarrare sufficiat quot monachi quot moniales de georgia de armenia maiore et minore caldea syria media persya india ethyopia nubia nabenia maromea iacobite nestoriani greci syri et aliarum nacionum nunc turmatim centeni ducenteni plus et minus discurrentes per loca singula in spiritu uehementi osculantur terram uenerantur loca in quibus dulcem ihesum sedisse stetisse uel fecisse quimpiam operis audierunt nunc tundunt pectus nunc fletus nunc gemitus nunc suspiria emittentes gestu corporis et deuotionis quam foris ostendunt et absque dubio intus habent in lacrimas prouocant plerumque eciam sarracenos
5,5,1.0,eya domine deus uideo secundum ueteres historias abraham domum patris congnationem et terram suam derelinquentem et ad terram hanc festinantem inter bethel et hay tabernaculum figentem in geraris bersabee et ebron commorantem uideo ezechielem deferentem flumina babilonis et ut ueniat in iherusalem inter celum et terram capillo capitis portatum uenientem quid dicam de uirgine gloriosa que postquam ad eam angelica facta est promissio licet sciret uterum suum tabernaculum dei factum non est contenta spaciosis et speciosis campestribus galilee sed statim cum festinatione montana iudee conscendit uolens locis sanctioribus propinquare quid de patriarcha iacob ioseph et fratribus eius dicam qui quia uiui in terra ista esse non poterant elegerunt mortui sepeliri quid plura ingemiscere possumus nostri temporis tarditatem et negligentiam populli christiani qui tot et tantorum habentes exempla tardi sunt de manibus inimicorum eruere terram quam sacrauit suo sanguine ihesu christus et quam tota die et nocte resonant eclesie uniuerse que enim hora diei uel noctis per totum annum in qua non recolat cantando legendo psallando predicando uel meditando omnis deuotus christianus que facta sunt uel scripta in hac terra et ciuitatibus et locis eius,eia domine deus uideo secundum ueteres hystorias abraham terram domumque patris et cognationem dereliquentem ad terram hanc festinantem inter bethel et hay tabernaculum figentem in geraris bersabee et ebron commorantem uideo ezechielem deserentem flumina babylonis et ut ueniat in ierusalem inter celum et terram capillo capitis portatum illuc transuolantem quid dicam de uirgine gloriosa que postquam ad eam angelica facta est promissio licet sciret uterum suum tabernaculum dei factum non est contenta spaciosis et speciosis campestribus galilee sed statim cum festinatione montana iudee conscendit uolens locis sanctuaribus propinquare quid de patriarcha lacob iosep et fratribus eius dicam qui quia uiui in terra ista esse non poterant elegerunt mortui sepeliri quid plura ingemiscere possumus nostri temporis populi christiani qui tot et tanta tantorum habentes exempla tardi sumus de manibus inimicorum eruere terram quam consecrauit suo sanguine ihesus christus et quam cotidie resonat ecclesia uniuersa quem enim hora diei uel noctis per totum anni circulum in qua non recolit cantando legendo psallendo predicando et meditando omnis deuotus christianus que facta sunt uel scripta in hac terra et ciuitatibus et locis eius
6,6,1.0,uerum ego frater burchardus ordinis fratrum predicatorum uidens quosdam affici desiderio ea saltem aliqualiter ymaginari que non possunt presentialiter intueri et cupiens eorum desiderio satisfacere quantum possum ipsam terram quam pedibus meis pluries pertransiui et per 10 annos quibus frater prouincie illius fui quantum potui consideraui diligenter et notaui et studiose descripsi uolui inscriptis redactam etiam per figuram depingere ut facilius posset ab aliis eius longitudo latitudo et dispositio comprehendi hoc lectorem scire uolens quod nichil in hac descriptione posui nisi quod uel presentialiter in locis ipsis existens oculis meis uidi uel stans in montibus aliquibus uel locis aliis oportunis ubi accessum habere non potui a syris uel a sarracenis et aliis terre ipsius habitatoribus quos ductores et interpretes frequenter mecum habui diligentissime de omnibus inuestigans que scire uolui annotaui quodam uero de quibus sepe quosdam dubios esse uideram et mouere sepius questiones licet oculis meis plene singula uiderim uolui tamen de his etiam ponere testimonium aliorum utpote iosephi qui in terra ipsa natus et conuersatus est et domini iacobi de uitriaco patriarche ierosolimitani sedis apostolice legati qui terram ipsam annotauit et fideliter descripsit ego terram ipsam totam a dan usque bersabee a mari mortuo et iordane usque ad mare occidentale qui sunt eius termini diligentissime perlustraui cum societate bona pluries habens securitatem omnimodam a soldano non solum in ipsa terra sancta sed et per syriam totam et egiptum uniuersa et plures alias regiones,uerum ego burchardus ordinis predicatorum uidens quosdam affici desiderio ea saltem aliqualiter ymaginari que non possunt presentialiter intueri et cupiens eorum desiderio satisfacere quantum possum terram ipsam quam pedibus meis pluries pertransiui quantum potui consideraui et notaui diligenter et studiose descripsi hec lectorem scire uolens quod nichil in hac descriptione posui nisi quod uel presencialiter in locis ipsis existens uidi uel stans in montibus aliquibus uel locis aliis oportunis ubi accessum habere non potui a surianis uel sarracenis aut aliis terre ipsius habitatoribus diligentissime quod querebam interrogans annotaui totam enim terram ipsam a dan usque bersabee a mari mortuo usque ad mare magnum qui sunt eius termini aut pedibus ut dictum est perambulaui uel oculis ubi accessum habere non potui diligenter consideraui
7,7,1.0,aduertens autem quomodo possem hec utiliter describere ut possent etiam ab aliis faciliter con<gia>mprehendi cogitaui centrum aliquod in ipsa terra ponere et circa illud totam terram modo debito ordinare et ad hoc elegi ciuitatem aconensem tamquam aliis plus notam que tamen non est in medio terre ipsius sed in occidentali eius fine sita et ab ipsa protraxi 4 leucas 4 mundi partibus respondentes et quamlibet quartam diuisi in 3 ut responderent 12 diuisiones iste 12 uentis celi et in singulis diuisionibus posui ciuitates et loca et montes et castra in scripturis magis nota ut singulorum locorum situs et dispositio posset de facili reperiri ad quam mundi partem esset sita,aduertens autem quomodo possem hec utiliter describere ita ut possent a legentibus ymaginatione facili conprehendi cogitaui centrum aliquod in ea ponere et circa illud totam terram modo debito ordinare et ad hoc elegi ciuitatem acconen[sem] tamquam plus aliis nominatam que tamen non est in medio sed in occidentali eius fine supra mare sita et ab ipsa protraxi quatuor lineas quatuor mundi partibus respondents et quamlibet quartam diuisi in tria ut responderent duodecim diuisiones iste 12 uentis celi et in singulis diuisionibus posui ciuitates et loca in scripturis magis nota ut singulorum locorum situs et dispositio posset de facili reperiri ad quam partem mundi esset collocata
8,8,0.9999999999999999,sciendum autem in principio quod terra ista quam sanctam dicimus que cecidit in sortem 12 tribuum israel pro parte aliqua dicebatur regnum iudee quia erat 2 tribuum scilicet iude et beniamin pro parte altera dicebatur regnum samarie scilicet ciuitatis illius que nunc sebaste dicitur et erat caput et metropolis 10 tribuum reliquarum que israhel dicebantur utrumque tamen regnum cum tota terra philistim dicebatur palestina que erat pars sirie sicut saxonia francia uel thuringia partes sunt teuthonie et lonbardia et tuscia et campania partes sunt ytalie,descripcio terre sancte sciendum autem est in principio quod terra ista quam sanctam dicimus que cecidit in sortem duodecim tribuum israel pro parte aliqua dicebatur regnum iudee que erat duarum tribuum scilicet iude et beniamin pro parte altera dicebatur regnum samarie ciuitatis scilicet que nunc sebaste dicitur et erat caput 10 tribuum reliquarum que israel dicebantur utrumque tamen regnum istud cum tota terra phylistiim dicebatur palestina que erat pars syrie sicut saxonia uel francia partes sunt teutonie et lambardia et tuscia partes ytalie
9,9,1.0,ad hec autem plenius intelligendum nota quod plures sunt syrie scilicet diuersis nominibus nuncupate tota enim terra que est a tigri fluuio qui de monte ararath oritur et infimi rubris maris qui persicus dicitur influit rubrum mare usque ad nylum fluuium egipti generaliter syria appellatur pars tamen eius prima que est inter tygrim fluuium et eufratem protenditur per longum ab aquilone in austrum hoc est a monte ararath qui est pars montis tauri de cuius radice uterque fluuius oritur usque ad mare rubrum mesopotammia syrie appellatur quasi media inter aquas et habet gentes multas ut parthos medos et persas quibus ab austro fere adiungitur et occidentte coniungitur caldea in qua est babilonia magna et illi indie ab austro fere adiungitur arabia usque ad mare rubrum quod in locis illis suis arabicus appellatur prima enim pars huius mesopothamie que aquilonem respicit in qua est ciuitas edissa que antiquitus rages nunc uero a sarracenis et tartaris rase dicitur specialiter mesopotamia appellatur et hec est siria prima,ad hoc autem plenius intelligendum nota quod plures sunt syrie diuersis scilicet nominibus nuncupate tota enim terra que est a tygride fluuio usque ad egyptum generaliter syria nuncupatur pars tamen eius prima que est inter fluuios eufraten et tygrum et protenditur per longum ab aquilone in austrum hoc est a monte tauro usque ad mare rubrum appellatur mesopotamia syrie quasi media inter aquas et habet gentes multas ut partos medos quibus ab austro coniungitur caldea in qua est babilonia et illi ytidem ab austro adiacet arabia usque ad mare rubrum quod in locis illis sinus arabicus dicitur prima tamen pars totius huius mesopotamie que aquilonem respicit in qua est ciuitas edissa que antiquitus rages nunc rase dicitur specialiter mesopothamia syrie nuncupatur et hec est syria prima
