,feature_name,word,zwickau,london,breslau,version with higher score
9037,count_vectorizer_5_gram,_est_,593,664,202,london
9038,count_vectorizer_5_gram,s_et_,357,371,109,london
9039,count_vectorizer_5_gram,ibus_,319,347,111,london
9040,count_vectorizer_5_gram,m_et_,283,350,92,london
9041,count_vectorizer_5_gram,itur_,280,337,116,london
9042,count_vectorizer_5_gram,_que_,263,260,92,zwickau
9043,count_vectorizer_5_gram,_quod,262,288,84,london
9044,count_vectorizer_5_gram,_mont,261,266,131,london
9045,count_vectorizer_5_gram,quod_,250,276,82,london
9046,count_vectorizer_5_gram,t_in_,238,252,85,london
9047,count_vectorizer_5_gram,_cont,234,290,119,london
9048,count_vectorizer_5_gram,iuita,234,263,102,london
9049,count_vectorizer_5_gram,_ciui,229,254,100,london
9050,count_vectorizer_5_gram,ciuit,229,254,100,london
9051,count_vectorizer_5_gram,_per_,224,258,65,london
9052,count_vectorizer_5_gram,sunt_,221,234,58,london
9053,count_vectorizer_5_gram,ntem_,209,236,122,london
9054,count_vectorizer_5_gram,_sunt,209,223,54,london
9055,count_vectorizer_5_gram,_leuc,209,217,128,london
9056,count_vectorizer_5_gram,contr,207,256,111,london
9057,count_vectorizer_5_gram,ontra,207,255,111,london
9058,count_vectorizer_5_gram,ntra_,205,256,113,london
9059,count_vectorizer_5_gram,_terr,201,194,62,zwickau
9060,count_vectorizer_5_gram,e_et_,186,220,68,london
9061,count_vectorizer_5_gram,orum_,183,190,73,london
9062,count_vectorizer_5_gram,m_in_,181,207,76,london
9063,count_vectorizer_5_gram,_qui_,180,208,54,london
9064,count_vectorizer_5_gram,sque_,171,191,63,london
9065,count_vectorizer_5_gram,_et_i,171,191,51,london
9066,count_vectorizer_5_gram,monte,163,175,71,london
9067,count_vectorizer_5_gram,usque,162,182,62,london
9068,count_vectorizer_5_gram,_non_,159,176,51,london
9069,count_vectorizer_5_gram,_usqu,159,179,59,london
9070,count_vectorizer_5_gram,uitat,159,189,50,london
9071,count_vectorizer_5_gram,terra,157,148,54,zwickau
9072,count_vectorizer_5_gram,_habe,153,154,34,london
9073,count_vectorizer_5_gram,a_et_,152,174,43,london
9074,count_vectorizer_5_gram,_et_s,150,157,42,london
9075,count_vectorizer_5_gram,entem,149,164,89,london
9076,count_vectorizer_5_gram,m_est,149,163,44,london
9077,count_vectorizer_5_gram,e_ad_,145,140,86,zwickau
9078,count_vectorizer_5_gram,_cum_,143,158,35,london
9079,count_vectorizer_5_gram,s_in_,143,177,58,london
9080,count_vectorizer_5_gram,_dici,142,172,51,london
9081,count_vectorizer_5_gram,itate,141,153,44,london
9082,count_vectorizer_5_gram,dicit,139,168,47,london
9083,count_vectorizer_5_gram,_ubi_,139,141,88,london
9084,count_vectorizer_5_gram,ntur_,137,145,38,london
9085,count_vectorizer_5_gram,um_et,137,173,36,london
9086,count_vectorizer_5_gram,_et_a,133,167,49,london
9087,count_vectorizer_5_gram,is_et,133,132,45,zwickau
9088,count_vectorizer_5_gram,t_et_,130,128,48,zwickau
9089,count_vectorizer_5_gram,_sed_,130,149,41,london
9090,count_vectorizer_5_gram,i_et_,129,133,38,london
