,feature_name,word,zwickau,london,version with higher score
51741,count_vectorizer_6_gram,_quod_,247,272,london
51742,count_vectorizer_6_gram,_ciuit,229,254,london
51743,count_vectorizer_6_gram,ciuita,229,254,london
51744,count_vectorizer_6_gram,_sunt_,208,223,london
51745,count_vectorizer_6_gram,_contr,207,256,london
51746,count_vectorizer_6_gram,contra,207,255,london
51747,count_vectorizer_6_gram,ontra_,198,247,london
51748,count_vectorizer_6_gram,usque_,162,182,london
51749,count_vectorizer_6_gram,_monte,162,173,london
51750,count_vectorizer_6_gram,_usque,158,178,london
51751,count_vectorizer_6_gram,iuitat,156,187,london
51752,count_vectorizer_6_gram,_terra,153,146,zwickau
51753,count_vectorizer_6_gram,m_est_,146,163,london
51754,count_vectorizer_6_gram,entem_,143,160,london
51755,count_vectorizer_6_gram,_dicit,138,166,london
51756,count_vectorizer_6_gram,is_et_,130,128,zwickau
51757,count_vectorizer_6_gram,um_et_,129,166,london
51758,count_vectorizer_6_gram,citur_,124,154,london
51759,count_vectorizer_6_gram,icitur,120,153,london
51760,count_vectorizer_6_gram,s_est_,119,130,london
51761,count_vectorizer_6_gram,_leuca,119,129,london
51762,count_vectorizer_6_gram,dicitu,117,150,london
51763,count_vectorizer_6_gram,terra_,108,96,zwickau
51764,count_vectorizer_6_gram,us_et_,106,109,london
51765,count_vectorizer_6_gram,_orien,104,118,london
51766,count_vectorizer_6_gram,_et_in,103,102,zwickau
51767,count_vectorizer_6_gram,orient,102,116,london
51768,count_vectorizer_6_gram,tibus_,101,105,london
51769,count_vectorizer_6_gram,_erat_,100,121,london
51770,count_vectorizer_6_gram,_in_qu,99,115,london
51771,count_vectorizer_6_gram,_austr,99,118,london
51772,count_vectorizer_6_gram,strum_,99,113,london
51773,count_vectorizer_6_gram,que_ad,98,102,london
51774,count_vectorizer_6_gram,ue_ad_,98,101,london
51775,count_vectorizer_6_gram,_inde_,97,69,zwickau
51776,count_vectorizer_6_gram,tamen_,95,109,london
51777,count_vectorizer_6_gram,sque_a,95,99,london
51778,count_vectorizer_6_gram,_quia_,94,94,equal
51779,count_vectorizer_6_gram,erunt_,94,97,london
51780,count_vectorizer_6_gram,etiam_,94,96,london
51781,count_vectorizer_6_gram,_tamen,94,107,london
51782,count_vectorizer_6_gram,_etiam,93,95,london
51783,count_vectorizer_6_gram,_eius_,93,113,london
51784,count_vectorizer_6_gram,_inter,92,98,london
51785,count_vectorizer_6_gram,_fuit_,92,106,london
51786,count_vectorizer_6_gram,uitate,91,100,london
51787,count_vectorizer_6_gram,_autem,90,110,london
51788,count_vectorizer_6_gram,autem_,90,110,london
51789,count_vectorizer_6_gram,_domin,89,92,london
51790,count_vectorizer_6_gram,um_est,88,101,london
51791,count_vectorizer_6_gram,_mare_,88,115,london
51792,count_vectorizer_6_gram,s_cont,86,97,london
51793,count_vectorizer_6_gram,monte_,85,101,london
51794,count_vectorizer_6_gram,_ualde,85,105,london
51795,count_vectorizer_6_gram,_uero_,84,90,london
