,shared_word,version a name,version a count,version b name,version b count
0,iacere,london,19,zwickau,14
1,longum,london,15,zwickau,10
2,oppidum,london,15,zwickau,1
3,ueni,london,15,zwickau,10
4,campo,london,13,zwickau,7
5,diuersis,london,12,zwickau,7
6,crescunt,london,12,zwickau,13
7,coniungitur,london,11,zwickau,8
8,prope,london,11,zwickau,3
9,aliquis,london,11,zwickau,9
10,babiloniam,london,11,zwickau,11
11,uenimus,london,11,zwickau,5
12,meis,london,10,zwickau,10
13,quibusdam,london,10,zwickau,7
14,habundat,london,10,zwickau,7
15,bene,london,10,zwickau,9
16,poma,london,10,zwickau,10
17,ciuitatibus,london,9,zwickau,12
18,sciendum,london,9,zwickau,5
19,diuisio,london,9,zwickau,4
20,altus,london,9,zwickau,6
21,aracas,london,9,zwickau,8
22,sepulcra,london,9,zwickau,6
23,lapides,london,9,zwickau,6
24,loci,london,9,zwickau,3
25,engaddi,london,9,zwickau,1
26,plurimum,london,9,zwickau,13
27,sanctum,london,9,zwickau,8
28,sint,london,9,zwickau,8
29,coram,london,8,zwickau,7
30,greci,london,8,zwickau,9
31,hospitalis,london,8,zwickau,5
32,missam,london,8,zwickau,5
33,canaan,london,8,zwickau,1
34,hic,london,8,zwickau,9
35,bis,london,8,zwickau,7
36,ignis,london,8,zwickau,7
37,pluries,london,7,zwickau,8
38,rubrum,london,7,zwickau,7
39,anteradum,london,7,zwickau,6
40,situ,london,7,zwickau,4
41,mensuraui,london,7,zwickau,4
42,piramides,london,7,zwickau,5
43,altare,london,7,zwickau,6
44,mansit,london,7,zwickau,5
45,glossa,london,7,zwickau,10
46,nili,london,7,zwickau,7
47,inuenitur,london,7,zwickau,3
48,utique,london,7,zwickau,3
49,sorte,london,7,zwickau,7
50,nomen,london,7,zwickau,3
51,uirginem,london,7,zwickau,6
52,similes,london,7,zwickau,5
53,nestoriani,london,6,zwickau,5
54,sumus,london,6,zwickau,5
55,cotidie,london,6,zwickau,4
56,diligenter,london,6,zwickau,4
57,iude,london,6,zwickau,3
58,fluuio,london,6,zwickau,9
59,tocius,london,6,zwickau,3
60,proprie,london,6,zwickau,4
61,krac,london,6,zwickau,4
62,helias,london,6,zwickau,6
63,bonum,london,6,zwickau,10
64,meo,london,6,zwickau,5
65,uiri,london,6,zwickau,7
66,regionem,london,6,zwickau,5
67,deuote,london,6,zwickau,5
68,istorum,london,6,zwickau,5
69,steti,london,6,zwickau,5
70,terris,london,6,zwickau,6
71,appelat,london,6,zwickau,5
72,festo,london,6,zwickau,8
73,pulcrum,london,6,zwickau,3
74,habebat,london,6,zwickau,7
75,roma,london,6,zwickau,2
76,introitum,london,6,zwickau,5
77,facie,london,6,zwickau,7
78,alium,london,6,zwickau,8
79,edificatum,london,6,zwickau,4
80,ambitus,london,6,zwickau,4
81,plusquam,london,6,zwickau,2
82,ascendendo,london,6,zwickau,5
83,pisces,london,6,zwickau,5
84,sicud,london,6,zwickau,62
85,festum,london,6,zwickau,6
86,oleum,london,6,zwickau,6
87,oficium,london,6,zwickau,6
88,miliare,london,6,zwickau,6
89,liber,london,5,zwickau,3
90,historiis,london,5,zwickau,2
91,quosdam,london,5,zwickau,4
92,intrauit,london,5,zwickau,5
93,dominice,london,5,zwickau,4
94,patriarca,london,5,zwickau,5
95,sortem,london,5,zwickau,3
96,gentes,london,5,zwickau,6
97,siriam,london,5,zwickau,7
98,romane,london,5,zwickau,3
99,saron,london,5,zwickau,1
100,riuos,london,5,zwickau,2
101,hominis,london,5,zwickau,5
102,constructa,london,5,zwickau,3
103,similia,london,5,zwickau,4
104,episcopus,london,5,zwickau,2
105,destructa,london,5,zwickau,5
106,subito,london,5,zwickau,3
107,colunt,london,5,zwickau,5
108,aradium,london,5,zwickau,4
109,insula,london,5,zwickau,6
110,condidit,london,5,zwickau,3
111,aliquid,london,5,zwickau,4
112,ciuitati,london,5,zwickau,3
113,corosaim,london,5,zwickau,1
114,uulturnum,london,5,zwickau,4
115,alibi,london,5,zwickau,3
116,hunc,london,5,zwickau,4
117,firmo,london,5,zwickau,2
118,sopim,london,5,zwickau,1
119,dimidia,london,5,zwickau,3
120,uxores,london,5,zwickau,3
121,mane,london,5,zwickau,2
122,abarim,london,5,zwickau,2
123,edifitia,london,5,zwickau,6
124,aquilonali,london,5,zwickau,7
125,istas,london,5,zwickau,3
126,cristum,london,5,zwickau,4
127,neapolim,london,5,zwickau,3
128,uento,london,5,zwickau,4
