,before,after
0,(1r),
1,Liber,liber
2,de,de
3,Terra,terra
4,Sancta.,sancta
5,Cum,cum
6,in,in
7,veteribus,ueteribus
8,hystoriis,historiis
9,"legamus,",legamus
10,sicut,sicut
11,dicit,dicit
12,beatus,beatus
13,"Ieronimus,",ieronimus
14,quosdam,quosdam
15,lustrasse,lustrasse
16,"provincias,",prouintias
17,maria,maria
18,"transfretasse,",transfretasse
19,ut,ut
20,ea,ea
21,que,que
22,ex,ex
23,libris,libris
24,noverant,nouerant
25,coram,coram
26,positi,positi
27,"viderent,",uiderent
28,Plato,plato
29,Menphiticos,menpiticos
30,vates,uates
31,et,et
32,"Egyptum,",egiptum
33,Apollonius,apolonius
34,qui,qui
35,Persas,persas
36,"intravit,",intrauit
37,transivit,transiuit
38,"Caucasum,",caucasum
39,Albanos,albanos
40,Scithas,scitas
41,Massagethas,massagetas
42,Indiam,indiam
43,Bragmanos,bragmanos
44,"quoque,",quoque
45,Yartham,iartam
46,videret,uideret
47,tandem,tandem
48,Egyptum,egiptum
49,intravit,intrauit
50,famosam,famosam
51,mensam,mensam
52,solis,solis
53,sabulo.,sabulo
54,Quid,quid
55,mirum,mirum
56,si,si
57,Christiani,cristiani
58,terram,terram
59,illam,ilam
60,quam,quam
61,Christi,cristi
62,sonant,sonant
63,ecclesie,ecclesie
64,universe,uniuerse
65,videre,uidere
66,visitare,uisitare
67,desiderant?,desiderant
68,Vanerabantur,uanerabantur
69,antiqui,antiqui
70,sancta,sancta
71,sanctorum,sanctorum
72,quia,quia
73,ibi,ibi
74,erat,erat
75,archa,arca
76,testamenti,testamenti
77,cherubin,cerubin
78,cum,cum
79,propiciatorio,propitiatorio
80,manna,manna
81,virga,uirga
82,Aaron,aaron
83,fronduerat,fronduerat
84,omnia,omnia
85,erant,erant
86,umbra,umbra
87,futuri.,futuri
88,Nonne,nonne
89,aput,aput
90,nos,nos
91,venerabilis,uenerabilis
92,est,est
93,sepulchrum,sepulcrum
94,dulcis,dulcis
95,Ihesu,iesu
96,quod,quod
97,quociens,quociens
98,quis,quis
99,ingreditur,ingreditur
100,tociens,tociens
101,involutum,inuolutum
102,syndone,sindone
103,mentis,mentis
104,videt,uidet
105,oculis,oculis
106,salvatorem,saluatorem
107,paululum,paululum
108,procedens,procedens
109,lapidem,lapidem
110,revolutum,reuolutum
111,angelum,angelum
112,eo,eo
113,sedentem,sedentem
114,sudarium,sudarium
115,lintheaminibus,linteaminibus
116,mulieribus,mulieribus
117,ostendentem.,ostendentem
118,Quis,quis
119,Christianus,cristianus
120,hiis,hiis
121,visis,uisis
122,non,non
123,festinet,festinet
124,venire,uenire
125,"Bethleem,",betleem
126,contemplans,contemplans
127,puerum,puerum
128,presepio,presepio
129,"vagientem,",uagientem
130,Mariam,mariam
131,diversorio,diuersorio
132,sub,sub
133,rupe,rupe
134,"concava,",concaua
135,usque,usque
136,hodie,hodie
137,"cernitur,",cernitur
138,"parientem,",parientem
139,angelos,angelos
140,presentibus,presentibus
141,pastoribus,pastoribus
142,gloriam,gloriam
143,Deo,deo
144,pacem,pacem
145,hominibus,hominibus
146,"decantantes,",decantantes
147,"et,",et
148,amplius,amplius
149,mirandum,mirandum
150,"est,",est
151,quomodo,quomodo
152,tres,tres
153,illi,ili
154,magi,magi
155,maiestate,maiestate
156,preclari,preclari
157,ante,ante
158,presepium,presepium
159,proni,proni
160,ruant,ruant
161,habens,habens
162,tectum,tectum
163,desuper,desuper
164,nisi,nisi
165,rupem,rupem
166,dependentem.,dependentem
167,Redeat,redeat
168,post,post
169,hec,hec
170,Ierusalem,ierusalem
171,videat,uideat
172,audiat,audiat
173,templo,templo
174,Ihesum,iesum
175,"predicantem,",predicantem
176,Monte,monte
177,Oliveti,oliueti
178,discipulos,discipulos
179,"instruentem,",instruentem
180,Syon,sion
181,"cenantem,",cenantem
182,discipulorum,discipulorum
183,pedes,pedes
184,"lavantem,",lauantem
185,corpus,corpus
186,suum,suum
187,sanguinem,sanguinem
