,shared_word,version a name,version a count,version b name,version b count
0,pilistiim,london,11,breslau,2
1,deinde,london,9,breslau,10
2,quatuor,london,8,breslau,4
3,acconensi,london,6,breslau,1
4,magedo,london,6,breslau,1
5,musiuo,london,5,breslau,2
6,esecias,london,4,breslau,1
7,quot,london,3,breslau,2
8,suficient,london,3,breslau,1
9,gen,london,3,breslau,1
10,deut,london,3,breslau,1
11,meum,london,3,breslau,2
12,descensum,london,3,breslau,1
13,posita,london,3,breslau,1
14,subter,london,3,breslau,1
15,rapaim,london,3,breslau,1
16,cerubin,london,2,breslau,1
17,occidenti,london,2,breslau,1
18,austri,london,2,breslau,1
19,impetu,london,2,breslau,1
20,descendentes,london,2,breslau,1
21,celebraui,london,2,breslau,1
22,altissimo,london,2,breslau,1
23,grecis,london,2,breslau,1
24,monti,london,2,breslau,1
25,duorum,london,2,breslau,1
26,dispositus,london,2,breslau,1
27,hermoniim,london,2,breslau,1
28,maceronta,london,2,breslau,1
29,neapolis,london,2,breslau,1
30,pesec,london,2,breslau,3
31,hee,london,2,breslau,2
32,neccessarie,london,2,breslau,1
33,sennacerib,london,2,breslau,1
34,duplici,london,2,breslau,1
35,duabus,london,2,breslau,4
36,motu,london,2,breslau,1
37,betsam,london,2,breslau,1
38,ackaron,london,2,breslau,3
39,iudicatum,london,1,breslau,1
40,emitentes,london,1,breslau,1
41,deserentem,london,1,breslau,1
42,transuolantem,london,1,breslau,1
43,consecrauit,london,1,breslau,2
44,surianis,london,1,breslau,1
45,querebam,london,1,breslau,1
46,interrogans,london,1,breslau,1
47,legentibus,london,1,breslau,1
48,lineas,london,1,breslau,1
49,metropolim,london,1,breslau,1
50,regalis,london,1,breslau,1
51,plurima,london,1,breslau,1
52,directam,london,1,breslau,2
53,penitia,london,1,breslau,2
54,arcis,london,1,breslau,1
55,lamperti,london,1,breslau,1
56,impelunt,london,1,breslau,1
57,contiguam,london,1,breslau,1
58,te,london,1,breslau,1
59,portauit,london,1,breslau,1
60,demetrium,london,1,breslau,1
61,australem,london,1,breslau,2
62,crederentur,london,1,breslau,1
63,ceperunt,london,1,breslau,1
64,paneas,london,1,breslau,1
65,masrepa,london,1,breslau,1
66,amorreos,london,1,breslau,1
67,manasses,london,1,breslau,1
68,iahel,london,1,breslau,1
69,fugiciuorum,london,1,breslau,1
70,circumdatus,london,1,breslau,1
71,impletum,london,1,breslau,1
72,ulteriori,london,1,breslau,1
73,declinare,london,1,breslau,1
74,tetraca,london,1,breslau,1
75,penitiam,london,1,breslau,3
76,separatus,london,1,breslau,1
77,transiuisset,london,1,breslau,2
78,eleuans,london,1,breslau,1
79,succedit,london,1,breslau,1
80,triclinium,london,1,breslau,1
81,modicam,london,1,breslau,1
82,trium,london,1,breslau,3
83,melcisedet,london,1,breslau,1
84,dixeritis,london,1,breslau,1
85,interfectionis,london,1,breslau,1
86,sunamitis,london,1,breslau,2
87,calefecit,london,1,breslau,1
88,gedeon,london,1,breslau,1
89,petrosi,london,1,breslau,1
90,muratum,london,1,breslau,1
91,principalis,london,1,breslau,1
92,propetam,london,1,breslau,1
93,propetas,london,1,breslau,2
94,pugilis,london,1,breslau,1
95,uenalium,london,1,breslau,1
96,requirit,london,1,breslau,1
97,ieroboam,london,1,breslau,1
98,dux,london,1,breslau,1
99,audita,london,1,breslau,1
100,nobo,london,1,breslau,1
101,centum,london,1,breslau,2
102,baptisatus,london,1,breslau,1
103,lerico,london,1,breslau,1
104,uermes,london,1,breslau,1
105,tenebrosum,london,1,breslau,1
106,inutilis,london,1,breslau,1
107,persequitur,london,1,breslau,1
108,priusquam,london,1,breslau,3
109,possint,london,1,breslau,1
110,temporibus,london,1,breslau,1
111,cisternam,london,1,breslau,1
112,capciuitatis,london,1,breslau,1
113,transeamus,london,1,breslau,1
114,aquilonaris,london,1,breslau,3
115,coniungebatur,london,1,breslau,1
116,dimissiora,london,1,breslau,1
117,orientalibus,london,1,breslau,1
118,capilorum,london,1,breslau,1
119,impressionem,london,1,breslau,1
120,gute,london,1,breslau,1
121,genuum,london,1,breslau,1
122,golgotana,london,1,breslau,1
123,passione,london,1,breslau,2
124,caipe,london,1,breslau,1
125,impleta,london,1,breslau,1
126,octo,london,1,breslau,1
127,patebit,london,1,breslau,1
128,oppositus,london,1,breslau,1
129,dextra,london,1,breslau,1
130,respiciens,london,1,breslau,2
131,ioas,london,1,breslau,1
132,testudinem,london,1,breslau,2
133,sumitate,london,1,breslau,1
134,transeunt,london,1,breslau,1
135,gehennon,london,1,breslau,2
136,deficit,london,1,breslau,1
137,agnitus,london,1,breslau,1
138,solent,london,1,breslau,1
139,racelis,london,1,breslau,1
140,artificibus,london,1,breslau,1
141,disparuit,london,1,breslau,1
142,innocentum,london,1,breslau,1
143,eustocium,london,1,breslau,1
144,colendi,london,1,breslau,1
145,sur,london,1,breslau,2
146,nata,london,1,breslau,1
147,literarum,london,1,breslau,1
148,cenes,london,1,breslau,1
149,ueneratione,london,1,breslau,2
150,inquit,london,1,breslau,1
151,nouam,london,1,breslau,1
152,ramatam,london,1,breslau,1
153,giblin,london,1,breslau,1
