original_word,variants,variants_count
iudeam,"[('iudea', 1)]",1
aliquem,"[('alique', 1)]",1
leucis,"[('leuis', 1), ('leuci', 1), ('leucas', 1)]",3
deserto,"[('deserti', 1)]",1
cades,"[('cedes', 1), ('codes', 1)]",2
arena,"[('armena', 1), ('area', 1), ('amena', 1)]",3
ualde,"[('uale', 1)]",1
tetraca,"[('tetrarca', 1)]",1
militie,"[('militia', 1), ('milicie', 1)]",2
gloriose,"[('gloriosa', 1)]",1
nostri,"[('nostre', 1), ('nostris', 1)]",2
suum,"[('suam', 1)]",1
patris,"[('patri', 1), ('patria', 1)]",2
turonum,"[('toronum', 1)]",1
planicies,"[('planiciem', 1), ('planicie', 1)]",2
suna,"[('sunt', 1), ('sua', 1), ('una', 1)]",3
ilud,"[('isud', 1), ('iluc', 1), ('ilum', 1)]",3
alii,"[('aliis', 1), ('alio', 1), ('alia', 1), ('alie', 1)]",4
nominibus,"[('hominibus', 1)]",1
habent,"[('habens', 1), ('habeant', 1), ('habet', 1)]",3
dicebatur,"[('dicebtur', 1)]",1
suficit,"[('suficiet', 1)]",1
discipulis,"[('discipulos', 1)]",1
ioas,"[('ionas', 1)]",1
maiore,"[('maior', 1)]",1
saltem,"[('salutem', 1)]",1
betaniam,"[('betania', 1)]",1
dicitur,"[('dicatur', 1), ('dicetur', 1), ('ducitur', 1)]",3
siris,"[('sitis', 1), ('sirie', 1), ('siria', 1), ('siri', 1)]",4
docentem,"[('ducentem', 1)]",1
sitis,"[('siris', 1), ('satis', 1), ('situs', 1), ('sitas', 1)]",4
galilee,"[('galilea', 1)]",1
terrre,"[('terre', 1)]",1
iuditio,"[('iuditia', 1)]",1
mirat,"[('mira', 1)]",1
arabiam,"[('arabia', 1)]",1
torrentem,"[('torrente', 1)]",1
egiptum,"[('egiptus', 1)]",1
uinee,"[('uinea', 1)]",1
suam,"[('suum', 1), ('sua', 1), ('suas', 1), ('quam', 1)]",4
alias,"[('aliis', 1), ('aliam', 1), ('alius', 1), ('alia', 1), ('elias', 1)]",5
nebo,"[('nobo', 1)]",1
sibi,"[('siri', 1), ('ibi', 1)]",2
palestine,"[('palestina', 1)]",1
ualete,"[('ualet', 1)]",1
descensu,"[('descensum', 1)]",1
bodie,"[('hodie', 1)]",1
multi,"[('multo', 1), ('multa', 1), ('multis', 1), ('multe', 1)]",4
longe,"[('longo', 1), ('longa', 1)]",2
cenes,"[('cedes', 1)]",1
cubitos,"[('cubitis', 1)]",1
beritus,"[('beritum', 1)]",1
hodie,"[('bodie', 1)]",1
hermonium,"[('hermoniim', 1)]",1
appelatur,"[('apelatur', 1), ('appelantur', 1)]",2
rupes,"[('rupe', 1), ('rupem', 1), ('rupis', 1)]",3
isud,"[('ilud', 1), ('istud', 1)]",2
detrarca,"[('tetrarca', 1)]",1
ortum,"[('ortus', 1)]",1
ibique,"[('ubique', 1)]",1
dici,"[('dicit', 1), ('mici', 1), ('dixi', 1), ('dicti', 1), ('duci', 1), ('diei', 1), ('dii', 1)]",7
aurea,"[('area', 1)]",1
sagwineum,"[('sagwinem', 1)]",1
aliis,"[('alii', 1), ('alias', 1), ('alius', 1)]",3
scribo,"[('scribi', 1)]",1
oriente,"[('orientem', 1)]",1
uerum,"[('puerum', 1), ('uerbum', 1), ('rerum', 1), ('uterum', 1)]",4
domine,"[('nomine', 1), ('domini', 1), ('domino', 1), ('domina', 1)]",4
annaneel,"[('ananeel', 1)]",1
porta,"[('portam', 1), ('porte', 1)]",2
rupe,"[('rupes', 1), ('rupem', 1), ('rupi', 1)]",3
easdem,"[('eandem', 1), ('eadem', 1)]",2
nona,"[('bona', 1), ('non', 1), ('nota', 1)]",3
partes,"[('parte', 1), ('pares', 1), ('partem', 1)]",3
dicit,"[('dici', 1), ('dixit', 1), ('ducit', 1)]",3
magnus,"[('magnum', 1), ('magnas', 1), ('magnos', 1)]",3
magnam,"[('magnum', 1), ('magnas', 1), ('magna', 1)]",3
magnum,"[('magnus', 1), ('magnam', 1)]",2
aquilone,"[('aquilonem', 1)]",1
factam,"[('factum', 1), ('facta', 1)]",2
cuius,"[('huius', 1)]",1
tersa,"[('uersa', 1), ('terra', 1)]",2
superioris,"[('superiori', 1)]",1
circumdat,"[('circumdati', 1), ('circumdata', 1)]",2
ipsi,"[('ipsa', 1), ('ipse', 1), ('ipsis', 1), ('ipso', 1)]",4
nobilissime,"[('nobilissima', 1), ('nobilissimo', 1)]",2
suis,"[('sui', 1), ('suos', 1), ('suas', 1), ('seis', 1), ('quis', 1)]",5
ingennium,"[('ingenium', 1)]",1
murum,"[('murus', 1), ('mirum', 1)]",2
uinetis,"[('uineis', 1), ('uinetus', 1)]",2
posita,"[('positas', 1)]",1
pacem,"[('panem', 1)]",1
cardins,"[('cardin', 1), ('cardini', 1)]",2
amenitatem,"[('amenitate', 1)]",1
factum,"[('factam', 1), ('iactum', 1), ('factus', 1)]",3
scire,"[('sciret', 1)]",1
fugit,"[('fuit', 1)]",1
capelam,"[('capela', 1)]",1
idem,"[('ides', 1), ('item', 1), ('ideo', 1), ('eidem', 1)]",4
precium,"[('predium', 1)]",1
antiquum,"[('antiquam', 1)]",1
fructum,"[('fructu', 1), ('fructus', 1)]",2
istum,"[('istud', 1), ('istam', 1)]",2
locus,"[('lacus', 1), ('locis', 1), ('locum', 1)]",3
sanctam,"[('sancta', 1)]",1
iacob,"[('iacos', 1), ('iacot', 1)]",2
defluit,"[('efluit', 1)]",1
hostie,"[('hostio', 1)]",1
tribu,"[('tribui', 1), ('tribus', 1)]",2
planitie,"[('planicie', 1)]",1
predium,"[('precium', 1)]",1
corporis,"[('corporeis', 1)]",1
historias,"[('historia', 1)]",1
tabulis,"[('tabulas', 1)]",1
apelatur,"[('appelatur', 1)]",1
mediam,"[('medium', 1), ('media', 1)]",2
uestri,"[('uestre', 1), ('uestris', 1)]",2
pluuia,"[('pluuiam', 1), ('pluuie', 1)]",2
acus,"[('lacus', 1), ('arcus', 1)]",2
fuerint,"[('fuderint', 1), ('fuerit', 1), ('fuerunt', 1)]",3
aliam,"[('alias', 1), ('alia', 1)]",2
ilam,"[('ilum', 1), ('iam', 1), ('ila', 1)]",3
alique,"[('aliquem', 1), ('aliqua', 1)]",2
nata,"[('lata', 1), ('nota', 1)]",2
conflictus,"[('conflictum', 1)]",1
dextra,"[('extra', 1), ('dextram', 1)]",2
aquam,"[('aqua', 1), ('quam', 1), ('aquas', 1)]",3
sidone,"[('sidonem', 1), ('sindone', 1), ('sidon', 1), ('sione', 1)]",4
tali,"[('tuli', 1)]",1
solet,"[('solent', 1), ('soelet', 1)]",2
mici,"[('dici', 1), ('mii', 1)]",2
ides,"[('idem', 1), ('ideo', 1)]",2
terminos,"[('terminus', 1)]",1
palma,"[('palme', 1), ('palmam', 1), ('pala', 1)]",3
tiro,"[('tiri', 1)]",1
usqe,"[('usque', 1)]",1
tempore,"[('tempora', 1)]",1
puer,"[('per', 1), ('pueri', 1)]",2
murus,"[('murum', 1), ('muris', 1), ('muros', 1)]",3
modico,"[('modica', 1)]",1
orientem,"[('oriente', 1), ('orietem', 1)]",2
tantundem,"[('tantumdem', 1)]",1
galilea,"[('galilee', 1), ('galileam', 1)]",2
litus,"[('latus', 1), ('situs', 1)]",2
caldeam,"[('caldea', 1)]",1
iactum,"[('factum', 1), ('iactus', 1)]",2
dari,"[('mari', 1)]",1
ciues,"[('niues', 1)]",1
uiderunt,"[('uixerunt', 1)]",1
duram,"[('durat', 1)]",1
pasga,"[('pasta', 1), ('pasca', 1)]",2
pars,"[('pares', 1)]",1
nouam,"[('nouem', 1)]",1
passum,"[('passus', 1), ('possum', 1)]",2
muro,"[('muri', 1), ('muros', 1)]",2
situm,"[('situs', 1)]",1
abraham,"[('abrabam', 1)]",1
petri,"[('patri', 1), ('petra', 1)]",2
aliquatulum,"[('aliquantulum', 1)]",1
parte,"[('partes', 1), ('porte', 1), ('parti', 1), ('partem', 1), ('marte', 1)]",5
dixi,"[('dici', 1), ('diei', 1), ('dixit', 1), ('dii', 1)]",4
descendant,"[('descendat', 1)]",1
pasta,"[('pasga', 1), ('pasca', 1)]",2
leuis,"[('leucis', 1)]",1
tirus,"[('tirum', 1)]",1
cardin,"[('cardins', 1), ('cardini', 1)]",2
horum,"[('forum', 1), ('eorum', 1)]",2
grecis,"[('gregis', 1)]",1
totis,"[('totus', 1)]",1
tribui,"[('tribu', 1), ('tribus', 1)]",2
grandis,"[('granis', 1)]",1
magne,"[('magno', 1), ('magni', 1), ('magna', 1)]",3
sunt,"[('suna', 1)]",1
haberet,"[('habere', 1)]",1
isti,"[('ista', 1), ('istis', 1), ('iste', 1), ('esti', 1), ('isto', 1)]",5
sarraceni,"[('sarracenis', 1)]",1
forum,"[('horum', 1), ('florum', 1), ('eorum', 1)]",3
nabal,"[('nabat', 1)]",1
palme,"[('palma', 1)]",1
nebulose,"[('nebulosa', 1)]",1
inuenio,"[('ingenio', 1), ('inuenit', 1)]",2
istos,"[('istis', 1), ('isto', 1)]",2
mansio,"[('mansi', 1)]",1
centrum,"[('centum', 1)]",1
dies,"[('diem', 1), ('diei', 1), ('die', 1)]",3
uidit,"[('uidet', 1), ('uidi', 1)]",2
latitudine,"[('latitudinem', 1)]",1
uinea,"[('uinee', 1), ('linea', 1)]",2
multo,"[('multi', 1), ('multa', 1), ('multe', 1), ('multos', 1)]",4
penitiam,"[('penitia', 1)]",1
sinistra,"[('sinistram', 1)]",1
celam,"[('celum', 1), ('cenam', 1)]",2
mesopotamiam,"[('mesopotamia', 1)]",1
seir,"[('seis', 1)]",1
ipsa,"[('ipsi', 1), ('ipse', 1), ('ipsam', 1), ('ipsas', 1), ('ipso', 1)]",5
dicatur,"[('dicitur', 1), ('dicetur', 1)]",2
nula,"[('nuli', 1), ('nulo', 1)]",2
sion,"[('sidon', 1), ('gion', 1), ('sione', 1)]",3
hanc,"[('hac', 1), ('hinc', 1), ('honc', 1)]",3
puerum,"[('uerum', 1)]",1
omnia,"[('omni', 1), ('omnis', 1)]",2
suos,"[('suis', 1), ('suas', 1), ('quos', 1), ('uos', 1), ('suo', 1), ('duos', 1)]",6
foris,"[('fortis', 1)]",1
montibus,"[('fontibus', 1)]",1
