original_word,variants,variants_count
iudeam,"[('iudea', 1)]",1
iabim,"[('iabin', 1)]",1
dotan,"[('dotam', 1)]",1
enea,"[('eneam', 1)]",1
adiit,"[('abiit', 1)]",1
supradictum,"[('supradictam', 1)]",1
regionem,"[('regionum', 1), ('regione', 1), ('regiones', 1)]",3
ramesses,"[('ramasses', 1)]",1
tiras,"[('tirus', 1)]",1
uertit,"[('auertit', 1)]",1
planicies,"[('planiciem', 1), ('planicie', 1)]",2
grossi,"[('grosso', 1), ('grossa', 1)]",2
ilud,"[('iluc', 1), ('iludi', 1), ('ilum', 1)]",3
flumine,"[('flumina', 1)]",1
fuissem,"[('fuisset', 1), ('fuisse', 1)]",2
peiora,"[('pecora', 1)]",1
abstinentie,"[('abstinentia', 1), ('abstinencie', 1)]",2
peccata,"[('peccato', 1)]",1
placeret,"[('placerent', 1)]",1
poma,"[('roma', 1)]",1
sitis,"[('satis', 1), ('situs', 1), ('siris', 1), ('siti', 1)]",4
galilee,"[('galilea', 1)]",1
ritu,"[('ritum', 1), ('situ', 1)]",2
altare,"[('altari', 1)]",1
sepultus,"[('sepultum', 1)]",1
pesec,"[('fesec', 1)]",1
peciui,"[('peciuit', 1)]",1
torrentem,"[('torrentes', 1), ('torrente', 1)]",2
distet,"[('distent', 1), ('distat', 1)]",2
censum,"[('centum', 1)]",1
orationem,"[('oratione', 1)]",1
uolantes,"[('uolentes', 1)]",1
respondentes,"[('respondents', 1)]",1
longe,"[('longa', 1), ('longo', 1), ('longi', 1)]",3
cenes,"[('cedes', 1), ('cene', 1), ('senes', 1), ('celes', 1)]",4
pretioso,"[('pretiosa', 1)]",1
occurri,"[('occurrit', 1)]",1
medie,"[('medi', 1), ('medio', 1), ('media', 1)]",3
appelatur,"[('appelatus', 1), ('appelantur', 1), ('appeletur', 1)]",3
uulcano,"[('uulcani', 1)]",1
decoratum,"[('decolatum', 1)]",1
ortum,"[('ortus', 1), ('portum', 1), ('ortu', 1)]",3
aliis,"[('altis', 1), ('alius', 1), ('alias', 1), ('alii', 1), ('alios', 1)]",5
asor,"[('aser', 1), ('acor', 1)]",2
uacant,"[('uocant', 1)]",1
euersioni,"[('euersionis', 1)]",1
patet,"[('patent', 1), ('pateat', 1), ('pater', 1)]",3
magnam,"[('magna', 1), ('magnum', 1), ('magnas', 1)]",3
saluia,"[('saluias', 1)]",1
ramos,"[('camos', 1), ('amos', 1)]",2
factam,"[('factum', 1), ('facta', 1)]",2
destructionem,"[('destructiones', 1)]",1
prouintia,"[('prouintias', 1)]",1
firma,"[('firmam', 1), ('firmo', 1)]",2
nobilissime,"[('nobilissimo', 1)]",1
dorsum,"[('torsum', 1), ('morsum', 1)]",2
quarentena,"[('quarentene', 1), ('quarentenam', 1)]",2
patriarcatu,"[('patriarcatus', 1)]",1
acar,"[('acab', 1), ('acor', 1)]",2
pacem,"[('panem', 1)]",1
amenitatem,"[('amenitate', 1), ('amenitates', 1)]",2
possederunt,"[('possiderunt', 1)]",1
factum,"[('factam', 1), ('iactum', 1), ('factus', 1)]",3
fratrem,"[('fratre', 1), ('fratrum', 1), ('fratres', 1), ('fratem', 1)]",4
capelam,"[('camelam', 1), ('capela', 1)]",2
precium,"[('predium', 1), ('arecium', 1)]",2
antiquum,"[('antiquam', 1)]",1
uehementi,"[('uehementia', 1)]",1
ager,"[('aser', 1), ('ader', 1)]",2
pondere,"[('ponere', 1)]",1
faciem,"[('facie', 1)]",1
sanctam,"[('sanctum', 1), ('sancta', 1)]",2
predium,"[('precium', 1)]",1
historias,"[('historia', 1), ('historiis', 1)]",2
tabulis,"[('tabulas', 1)]",1
pluuia,"[('pluuie', 1)]",1
ilam,"[('cilam', 1), ('ilas', 1), ('uilam', 1), ('olam', 1), ('iam', 1), ('ila', 1), ('ilum', 1)]",7
stabat,"[('stabant', 1)]",1
meliorem,"[('meliores', 1)]",1
triangule,"[('trianguli', 1), ('triangula', 1)]",2
nata,"[('lata', 1), ('nota', 1), ('data', 1)]",3
sareptam,"[('sarepta', 1)]",1
uocant,"[('uacant', 1), ('uocat', 1)]",2
oriantur,"[('oriuntur', 1)]",1
georgiani,"[('georginani', 1)]",1
apta,"[('capta', 1), ('alta', 1), ('auta', 1), ('apti', 1), ('apte', 1)]",5
romanis,"[('romanos', 1), ('romani', 1)]",2
aqueductum,"[('aqueductus', 1)]",1
palma,"[('palmas', 1), ('palme', 1), ('palmam', 1)]",3
separantur,"[('separatur', 1)]",1
legendo,"[('legende', 1)]",1
assumptis,"[('assumpti', 1)]",1
tempore,"[('tempora', 1)]",1
altos,"[('altis', 1), ('alto', 1), ('alios', 1), ('altus', 1)]",4
modico,"[('modica', 1)]",1
egippi,"[('egipti', 1)]",1
iactum,"[('factum', 1), ('iactus', 1), ('iactu', 1)]",3
uite,"[('uile', 1), ('uita', 1), ('uie', 1), ('uiti', 1), ('uice', 1), ('site', 1)]",6
sonat,"[('sonant', 1)]",1
nouam,"[('noua', 1), ('nouum', 1)]",2
igni,"[('igne', 1), ('digni', 1), ('ignis', 1)]",3
