original_word,variants,variants_count
iudeam,"[('iudea', 1)]",1
biblum,"[('biblium', 1)]",1
adiit,"[('abiit', 1)]",1
regionem,"[('regionum', 1), ('regione', 1), ('regiones', 1)]",3
ramesses,"[('ramasses', 1)]",1
carmeleum,"[('carmelum', 1)]",1
tiras,"[('tirus', 1)]",1
uertit,"[('auertit', 1)]",1
planicies,"[('planiciem', 1), ('planicie', 1), ('planiciei', 1)]",3
grossi,"[('grosso', 1), ('grossa', 1)]",2
baas,"[('baias', 1), ('baal', 1), ('bais', 1)]",3
ilud,"[('iluc', 1), ('iludi', 1), ('ilum', 1)]",3
fatentur,"[('fateantur', 1)]",1
flumine,"[('flumina', 1)]",1
fertilitate,"[('fertilitatem', 1)]",1
peiora,"[('pecora', 1)]",1
poma,"[('roma', 1), ('pona', 1)]",2
sitis,"[('satis', 1), ('sitas', 1), ('situs', 1), ('siris', 1)]",4
galilee,"[('galilea', 1)]",1
iuditio,"[('iuditia', 1)]",1
ritu,"[('ritum', 1), ('situ', 1)]",2
altare,"[('altari', 1)]",1
sepultus,"[('sepultum', 1)]",1
septentrionali,"[('septentrionalis', 1)]",1
torrentem,"[('torrentes', 1), ('torrente', 1)]",2
peciui,"[('peciuit', 1)]",1
distet,"[('distent', 1), ('distat', 1)]",2
uolantes,"[('uolentes', 1)]",1
longe,"[('longa', 1), ('longo', 1), ('loge', 1)]",3
pretioso,"[('pretiosa', 1)]",1
occurri,"[('occurrit', 1)]",1
transferunt,"[('transierunt', 1)]",1
appelatur,"[('appelantur', 1)]",1
uulcano,"[('uulcani', 1)]",1
decoratum,"[('decolatum', 1)]",1
ortum,"[('ortus', 1), ('portum', 1), ('ortu', 1)]",3
aliis,"[('altis', 1), ('alius', 1), ('alias', 1), ('alii', 1), ('alios', 1)]",5
asor,"[('acor', 1)]",1
uacant,"[('uocant', 1)]",1
euersioni,"[('euersionis', 1)]",1
magnam,"[('magna', 1), ('magnum', 1), ('magnas', 1)]",3
patet,"[('pater', 1)]",1
caparnum,"[('caparnaum', 1)]",1
saluia,"[('saluias', 1)]",1
factam,"[('factum', 1), ('facta', 1)]",2
botum,"[('totum', 1), ('bonum', 1), ('botrum', 1), ('notum', 1), ('potum', 1), ('motum', 1), ('uotum', 1)]",7
pulcerrimi,"[('pulcerrimo', 1)]",1
destructionem,"[('destructiones', 1)]",1
prouintia,"[('prouintias', 1)]",1
firma,"[('firmo', 1)]",1
nobilissime,"[('nobilissimo', 1), ('nobilissima', 1)]",2
quarentena,"[('quarentene', 1)]",1
decorare,"[('decolare', 1)]",1
amenitatem,"[('amenitate', 1), ('amenitates', 1)]",2
pacem,"[('panem', 1)]",1
factum,"[('factam', 1), ('iactum', 1), ('factus', 1)]",3
capelam,"[('camelam', 1), ('capela', 1)]",2
piscibus,"[('pistibus', 1)]",1
precium,"[('predium', 1), ('arecium', 1)]",2
antiquum,"[('antiquam', 1)]",1
uehementi,"[('uehementia', 1)]",1
assisini,"[('assinini', 1)]",1
pondere,"[('ponere', 1)]",1
faciem,"[('facie', 1)]",1
sanctam,"[('sanctum', 1), ('sancta', 1)]",2
eleutero,"[('eleutereo', 1)]",1
palmarum,"[('salmarum', 1)]",1
predium,"[('precium', 1)]",1
carmali,"[('carmeli', 1)]",1
historias,"[('historia', 1), ('historiis', 1)]",2
tabulis,"[('tabulas', 1)]",1
incitus,"[('initus', 1)]",1
pluuia,"[('pluuie', 1), ('pluria', 1)]",2
ilam,"[('cilam', 1), ('ilas', 1), ('uilam', 1), ('olam', 1), ('iam', 1), ('ila', 1), ('ilum', 1)]",7
meliorem,"[('meliores', 1)]",1
triangule,"[('trianguli', 1), ('triangula', 1)]",2
uocant,"[('uacant', 1)]",1
oriantur,"[('oriuntur', 1)]",1
sienen,"[('senen', 1), ('siene', 1)]",2
episcopales,"[('episcopalis', 1)]",1
apta,"[('capta', 1), ('alta', 1), ('auta', 1), ('apti', 1)]",4
occidentalem,"[('occidentale', 1)]",1
aqueductum,"[('aqueductus', 1)]",1
queo,"[('que', 1), ('quo', 1), ('quem', 1)]",3
palma,"[('palga', 1), ('palmas', 1), ('palme', 1), ('palmam', 1)]",4
legendo,"[('legende', 1)]",1
assumptis,"[('assumpti', 1)]",1
tempore,"[('tempora', 1)]",1
altos,"[('altis', 1), ('alto', 1), ('alios', 1), ('altus', 1)]",4
modico,"[('modice', 1), ('modica', 1)]",2
opidi,"[('opido', 1)]",1
strata,"[('stratam', 1)]",1
iactum,"[('factum', 1), ('iactus', 1)]",2
pasga,"[('pasta', 1), ('palga', 1), ('pasca', 1)]",3
uite,"[('uile', 1), ('uita', 1), ('uie', 1), ('uice', 1), ('site', 1)]",5
igni,"[('igne', 1), ('digni', 1), ('ignis', 1)]",3
situm,"[('sinum', 1), ('ritum', 1), ('sixtum', 1), ('situs', 1), ('situ', 1), ('titum', 1)]",6
ueni,"[('uenti', 1), ('uenit', 1), ('uini', 1), ('ueri', 1)]",4
supulcro,"[('sepulcro', 1)]",1
pasta,"[('pasga', 1), ('pasca', 1)]",2
tirus,"[('tiras', 1), ('tiirus', 1), ('tirum', 1)]",3
horum,"[('eorum', 1), ('forum', 1), ('horam', 1)]",3
quisque,"[('quinque', 1)]",1
sunt,"[('sint', 1)]",1
isti,"[('istis', 1), ('ista', 1), ('sti', 1), ('iste', 1), ('isto', 1)]",5
ultima,"[('ultimo', 1)]",1
prelatos,"[('prelatis', 1), ('prelatus', 1)]",2
mansio,"[('mansi', 1), ('mansit', 1)]",2
altis,"[('aliis', 1), ('altos', 1), ('artis', 1), ('altus', 1)]",4
miserant,"[('miserat', 1), ('miserunt', 1)]",2
dies,"[('die', 1), ('diem', 1), ('diei', 1), ('diues', 1)]",4
dominis,"[('dominus', 1), ('domini', 1), ('nominis', 1), ('hominis', 1), ('dominio', 1)]",5
mesopotamiam,"[('mesopotamia', 1)]",1
ipsa,"[('isa', 1), ('ipse', 1), ('ipsas', 1), ('ipsi', 1), ('ipso', 1), ('ipsam', 1)]",6
lege,"[('legi', 1), ('rege', 1), ('leges', 1), ('legem', 1), ('loge', 1)]",5
carit,"[('caret', 1), ('caric', 1), ('cadit', 1)]",3
ueneris,"[('ueteris', 1), ('generis', 1)]",2
redactam,"[('redacta', 1)]",1
homo,"[('domo', 1)]",1
albam,"[('album', 1), ('altam', 1), ('aliam', 1)]",3
botri,"[('botris', 1), ('botrim', 1)]",2
deleta,"[('delta', 1)]",1
fluens,"[('efluens', 1)]",1
dimidie,"[('dimidia', 1), ('dimidio', 1), ('diridie', 1)]",3
traconitide,"[('traconitidem', 1)]",1
redeunt,"[('redeunti', 1)]",1
marina,"[('maria', 1)]",1
sexui,"[('sequi', 1)]",1
spelunce,"[('spelunca', 1)]",1
ualanie,"[('ualania', 1)]",1
sior,"[('sion', 1), ('ior', 1)]",2
turrim,"[('turris', 1), ('turrium', 1), ('turrem', 1)]",3
pretiosas,"[('pretiosa', 1)]",1
natatoria,"[('natatoriam', 1)]",1
fructu,"[('fructus', 1), ('fructum', 1)]",2
rubri,"[('rubris', 1), ('rubro', 1)]",2
origentali,"[('orientali', 1)]",1
tumulos,"[('cumulos', 1), ('tumolos', 1)]",2
imagini,"[('imagine', 1)]",1
mirifice,"[('mirifico', 1)]",1
oliueti,"[('oliuetis', 1), ('oliueta', 1)]",2
sirie,"[('sirin', 1), ('siria', 1), ('siri', 1), ('siris', 1)]",4
dicti,"[('dici', 1), ('dictis', 1), ('dicte', 1), ('dicta', 1)]",4
tulerunt,"[('tulerant', 1), ('atulerunt', 1)]",2
quilibet,"[('qualibet', 1)]",1
locauerunt,"[('uocauerunt', 1)]",1
destructa,"[('destructam', 1)]",1
filius,"[('filiis', 1), ('filios', 1), ('filium', 1), ('ilius', 1)]",4
bona,"[('bono', 1), ('bone', 1), ('nona', 1), ('pona', 1), ('bonam', 1), ('bonas', 1)]",6
iluc,"[('ilud', 1), ('ilic', 1), ('ilum', 1)]",3
matei,"[('matri', 1)]",1
scissio,"[('scissi', 1)]",1
uadens,"[('uidens', 1)]",1
gerasam,"[('gerasa', 1)]",1
muniri,"[('muniti', 1)]",1
tantum,"[('tantam', 1)]",1
tabulam,"[('tabula', 1), ('tabulas', 1)]",2
cristum,"[('cristus', 1)]",1
armeniam,"[('armenia', 1)]",1
preuenti,"[('presenti', 1)]",1
milia,"[('filia', 1)]",1
sufitiant,"[('sufitiat', 1)]",1
castra,"[('castri', 1), ('castro', 1)]",2
inditia,"[('iuditia', 1)]",1
quarte,"[('quarta', 1), ('quare', 1)]",2
inclusit,"[('includit', 1)]",1
guta,"[('ruta', 1), ('tuta', 1), ('auta', 1)]",3
acas,"[('acab', 1), ('acis', 1), ('acus', 1)]",3
munitam,"[('munita', 1), ('munitum', 1)]",2
quamlibet,"[('quemlibet', 1), ('qualibet', 1)]",2
arto,"[('alto', 1)]",1
tauri,"[('auri', 1)]",1
sudore,"[('sudor', 1)]",1
pede,"[('pedes', 1), ('pedem', 1), ('cede', 1)]",3
pedibus,"[('pelibus', 1)]",1
nauigaui,"[('nauigari', 1)]",1
multitudinem,"[('multitudine', 1)]",1
equis,"[('equos', 1), ('quis', 1), ('aquis', 1)]",3
pomum,"[('potum', 1), ('domum', 1)]",2
mansi,"[('mansio', 1), ('mansit', 1)]",2
ciuitatis,"[('ciuitati', 1), ('ciuitates', 1)]",2
sint,"[('sunt', 1), ('sit', 1), ('sin', 1), ('sine', 1)]",4
saluias,"[('saluia', 1)]",1
diuisione,"[('diuisiones', 1)]",1
tobias,"[('tobia', 1)]",1
fluit,"[('fuit', 1), ('efluit', 1), ('fluxit', 1)]",3
mirabile,"[('mirabiles', 1), ('mirabili', 1), ('mirabilem', 1)]",3
spatio,"[('spatia', 1)]",1
capta,"[('apta', 1), ('captam', 1), ('capita', 1)]",3
angulum,"[('angelum', 1)]",1
proici,"[('proicit', 1)]",1
aliquam,"[('aliquem', 1), ('aliqua', 1)]",2
dicetur,"[('dicatur', 1), ('dicitur', 1)]",2
elisii,"[('elisei', 1)]",1
bono,"[('bona', 1), ('bone', 1)]",2
diuersis,"[('diuersas', 1), ('diuersi', 1)]",2
regno,"[('regio', 1), ('regni', 1), ('regna', 1)]",3
uniuerso,"[('uniuerse', 1), ('uniuersa', 1)]",2
munitio,"[('muniti', 1)]",1
porte,"[('poete', 1), ('forte', 1), ('portu', 1), ('porta', 1), ('sorte', 1), ('parte', 1), ('morte', 1), ('portem', 1)]",8
teutonice,"[('teutonie', 1), ('teutonica', 1)]",2
cain,"[('can', 1)]",1
cubitis,"[('cubitos', 1)]",1
fratre,"[('fratres', 1)]",1
ipse,"[('ipsa', 1), ('ipsi', 1), ('ipso', 1)]",3
uenti,"[('ueni', 1), ('uentis', 1), ('uento', 1)]",3
oriens,"[('moriens', 1)]",1
piala,"[('pialam', 1)]",1
mortuus,"[('mortus', 1), ('mortuum', 1)]",2
uolui,"[('uoluit', 1)]",1
nimia,"[('nimiam', 1), ('nimis', 1)]",2
loci,"[('locis', 1), ('loca', 1), ('loco', 1)]",3
biblium,"[('biblum', 1)]",1
egiptus,"[('egiptum', 1)]",1
totum,"[('botum', 1), ('notum', 1), ('potum', 1), ('totus', 1), ('motum', 1), ('uotum', 1), ('titum', 1), ('totam', 1)]",8
adam,"[('aram', 1), ('axam', 1)]",2
iarcam,"[('arcam', 1)]",1
habuit,"[('habui', 1)]",1
disposita,"[('dispositi', 1)]",1
latus,"[('litus', 1), ('lacus', 1), ('latos', 1), ('latum', 1), ('natus', 1)]",5
principes,"[('principis', 1)]",1
gradu,"[('gradus', 1)]",1
lapideam,"[('lapidem', 1)]",1
diuersas,"[('diuersis', 1), ('diuersa', 1)]",2
bene,"[('bone', 1), ('cene', 1)]",2
nascitur,"[('noscitur', 1)]",1
scissi,"[('scissio', 1)]",1
altera,"[('alteram', 1), ('alter', 1)]",2
propeta,"[('propete', 1)]",1
annuntiationis,"[('annuntiationi', 1)]",1
indi,"[('india', 1), ('inde', 1), ('indie', 1)]",3
religiosis,"[('religionis', 1), ('religiosi', 1)]",2
item,"[('iter', 1), ('idem', 1)]",2
quarta,"[('quarte', 1), ('quartam', 1)]",2
matri,"[('matei', 1), ('maturi', 1), ('matrim', 1), ('matris', 1), ('mari', 1)]",5
aquilonem,"[('aquilone', 1)]",1
miliare,"[('miliari', 1)]",1
occulta,"[('occultas', 1)]",1
consitus,"[('conditus', 1)]",1
cipri,"[('cupri', 1)]",1
istud,"[('istum', 1)]",1
manum,"[('magnum', 1), ('manu', 1), ('panum', 1), ('manuum', 1), ('malum', 1)]",5
diuo,"[('dio', 1), ('diu', 1), ('duo', 1), ('riuo', 1), ('dico', 1)]",5
translatus,"[('translatum', 1)]",1
continebat,"[('continebant', 1), ('continebit', 1)]",2
romam,"[('rotam', 1), ('roma', 1)]",2
ionas,"[('bonas', 1)]",1
parum,"[('karum', 1), ('patrum', 1), ('panum', 1), ('paruo', 1), ('parui', 1), ('rarum', 1), ('earum', 1)]",7
cabul,"[('kabul', 1)]",1
niue,"[('noue', 1), ('siue', 1)]",2
annulo,"[('angulo', 1)]",1
appelatam,"[('appelata', 1)]",1
termini,"[('terminis', 1)]",1
uerbum,"[('uerum', 1)]",1
litere,"[('latere', 1), ('litore', 1)]",2
alibi,"[('alii', 1)]",1
libro,"[('libri', 1)]",1
reuerentia,"[('reuerentiam', 1)]",1
cristiane,"[('cristiana', 1), ('cristiani', 1)]",2
piniceam,"[('peniceam', 1)]",1
peciuit,"[('peciui', 1), ('peciit', 1)]",2
herode,"[('herodes', 1)]",1
toto,"[('tot', 1), ('tota', 1)]",2
locis,"[('loci', 1), ('locus', 1), ('lacis', 1)]",3
lapis,"[('laris', 1), ('lacis', 1)]",2
piscinas,"[('piscinam', 1), ('piscinis', 1), ('piscina', 1)]",3
isaias,"[('isaia', 1)]",1
nobilis,"[('nobiles', 1)]",1
iuditiaria,"[('iuditiariam', 1)]",1
funda,"[('fundo', 1)]",1
uadit,"[('uidit', 1), ('uadis', 1), ('cadit', 1)]",3
questiones,"[('questionem', 1)]",1
habentur,"[('habetur', 1)]",1
amplis,"[('amplius', 1)]",1
panis,"[('canis', 1), ('pannis', 1)]",2
steriles,"[('sterilis', 1)]",1
sancte,"[('sancti', 1), ('sancto', 1), ('sancta', 1)]",3
mirifico,"[('mirifice', 1)]",1
eandem,"[('easdem', 1), ('eadem', 1), ('tandem', 1), ('eundem', 1)]",4
claustri,"[('claustra', 1)]",1
maiorem,"[('maiore', 1), ('maiores', 1)]",2
mira,"[('mire', 1), ('pira', 1)]",2
regine,"[('regina', 1), ('regie', 1), ('regione', 1)]",3
